title,production_companies,revenue
Nine Months,"['twentieth century fox film corporation', '1492 pictures']",69660733.0
Party Girl,['party productions'],472370.0
The Prophecy,['dimension films'],16.0
Reckless,"['playhouse international pictures', 'american playhouse', 'samuel goldwyn company, the']",0.0
Safe,"['killer films', 'american playhouse', 'kardana films', 'chemical films']",0.0
The Scarlet Letter,"['hollywood pictures', 'cinergi pictures entertainment']",10382407.0
The Show,,0.0
Showgirls,"['united artists', 'le studio canal+', 'carolco pictures']",20350754.0
Smoke,['miramax films'],8349430.0
Something to Talk About,"['spring creek productions', 'warner bros.', 'hawn / sylbert movie company']",50892160.0
Species,['metro-goldwyn-mayer (mgm)'],113374103.0
The Stars Fell on Henrietta,"['malpaso productions', ""butcher's run films"", 'warner bros.']",0.0
Strange Days,['lightstorm entertainment'],7959291.0
The Umbrellas of Cherbourg,"['beta film', 'madeleine films', 'parc film']",0.0
The Tie That Binds,"['hollywood pictures', 'polygram filmed entertainment', 'interscope communications']",5780000.0
Three Wishes,['savoy pictures'],7025496.0
Total Eclipse,"['sociã©tã© franã§aise de production (sfp)', 'fit productions', 'portman productions']",339889.0
"To Wong Foo, Thanks for Everything! Julie Newmar","['universal pictures', 'amblin entertainment']",47774193.0
Under Siege 2: Dark Territory,"['regency enterprises', 'warner bros.', 'seagal/nasso productions', 'victor company of japan (jvc)', 'cutting edge films']",104324083.0
Unstrung Heroes,['hollywood pictures'],0.0
Unzipped,,0.0
A Walk in the Clouds,"['twentieth century fox film corporation', 'zucker brothers productions']",50012507.0
Waterworld,"['universal pictures', 'gordon company', 'davis entertainment', 'licht/mueller film corporation']",264218220.0
White Man's Burden,"['hbo', 'a bandapart', 'rysher entertainment']",0.0
Wild Bill,['united artists'],0.0
The Browning Version,['paramount pictures'],0.0
Bushwhacked,['twentieth century fox film corporation'],0.0
Burnt by the Sun,"['canal+', 'studio trite', 'camã©ra one']",2616503.0
Before the Rain,"['polygram audiovisuel', 'british screen productions']",763847.0
Before Sunrise,"['detour film production', 'warner bros.']",5535405.0
Billy Madison,['jack giarraputo productions'],26488734.0
The Babysitter,['spelling films international'],0.0
Boys on the Side,"['regency enterprises', 'alcor films', 'canal+', 'new regency pictures', 'hera productions']",23450000.0
The Cure,"['universal pictures', 'island world']",0.0
Castle Freak,['full moon entertainment'],0.0
Circle of Friends,"['the rank organisation', 'bã³rd scannã¡n na hã‰ireann', 'lantana', 'price entertainment']",0.0
Clerks,"['miramax films', 'view askew productions']",3151130.0
Don Juan DeMarco,"['new line cinema', 'american zoetrope']",22200000.0
Disclosure,"['warner bros.', 'baltimore pictures']",214015089.0
Dream Man,"['keystone pictures', 'dream man productions inc']",0.0
Drop Zone,['paramount pictures'],0.0
Destiny Turns on the Radio,"['savoy pictures', 'rysher entertainment']",0.0
Death and the Maiden,"['fine line features', 'channel four films', 'capitol films', 'tf1 films production', 'canal+', 'flach film', ""les films de l'astre""]",0.0
Dolores Claiborne,"['castle rock entertainment', 'columbia pictures corporation']",0.0
Dumb and Dumber,"['new line cinema', 'motion picture corporation of america (mpca)']",247275374.0
Eat Drink Man Woman,"['ang lee productions', 'good machine', 'central motion pictures']",7294403.0
Exotica,"['miramax films', 'alliance entertainment', 'ego film arts']",0.0
Exit to Eden,['savoy pictures'],6841570.0
Ed Wood,['touchstone pictures'],5887457.0
French Kiss,"['twentieth century fox film corporation', 'polygram filmed entertainment', 'working title films', 'prufrock pictures']",0.0
Forget Paris,"['columbia pictures', 'castle rock entertainment']",0.0
Far from Home: The Adventures of Yellow Dog,['twentieth century fox film corporation'],0.0
A Goofy Movie,['walt disney pictures'],35348597.0
Hideaway,['tristar pictures'],12201255.0
Fluke,['metro-goldwyn-mayer'],0.0
Farinelli,"['italian international film', 'stã©phan films', 'mg']",0.0
Gordy,,3992809.0
Gumby: The Movie,,0.0
The Glass Shield,['miramax films'],0.0
Hoop Dreams,"['fine line features', 'kartemquin films']",7830611.0
Heavenly Creatures,"['wingnut films', 'miramax films', 'new zealand film commission', 'fontana productions']",3049135.0
Houseguest,"['caravan pictures', 'hollywood pictures']",26325256.0
Immortal Beloved,"['columbia pictures', 'majestic films international', 'icon entertainment international']",0.0
Heavyweights,"['walt disney pictures', 'caravan pictures']",17689177.0
The Hunted,"['universal pictures', 'bregman/baer productions']",0.0
I.Q.,['paramount pictures'],0.0
Interview with the Vampire,['geffen pictures'],223664608.0
Jefferson in Paris,"['merchant ivory productions', 'touchstone pictures']",2474000.0
The Jerky Boys,"['caravan pictures', 'touchstone pictures']",0.0
Junior,"['universal pictures', 'northern lights entertainment']",37000000.0
Just Cause,"['fountainbridge films', 'warner bros.', 'lee rich productions']",0.0
A Kid in King Arthur's Court,"['walt disney pictures', 'trimark pictures']",0.0
Kiss of Death,['twentieth century fox film corporation'],0.0
Star Wars,"['lucasfilm', 'twentieth century fox film corporation']",775398007.0
Little Women,['columbia pictures'],0.0
A Little Princess,['warner bros.'],0.0
Ladybird Ladybird,"['channel four films', 'parallax pictures']",0.0
L'Enfer,['mk2 productions'],0.0
Like Water for Chocolate,"['aviacsa', 'cinevista']",21665468.0
Legends of the Fall,"['bedford falls productions', 'tristar pictures', 'pangaea']",160638883.0
Major Payne,['universal pictures'],0.0
Little Odessa,"['fine line features', 'new line cinema', 'live entertainment']",0.0
Mi Vida Loca,"['channel four films', 'cineville', 'home box office (hbo)', 'showcase entertaiment inc.']",0.0
Love Affair,['warner bros.'],0.0
Losing Isaiah,['paramount pictures'],7603766.0
The Madness of King George,"['channel four films', 'samuel goldwyn company', 'close call films']",0.0
Mary Shelley's Frankenstein,"['american zoetrope', 'tristar pictures']",112006296.0
Man of the House,['walt disney pictures'],0.0
Mixed Nuts,['tristar pictures'],0.0
Milk Money,"['paramount pictures', 'the kennedy/marshall company']",18137661.0
Miracle on 34th Street,['twentieth century fox film corporation'],46264384.0
Miami Rhapsody,['hollywood pictures'],5.0
My Family,"['american zoetrope', 'american playhouse', 'majestic films international', 'newcomb productions']",0.0
Murder in the First,"['wolper organization', 'warner bros.']",17381942.0
Nobody's Fool,"['paramount pictures', 'capella international', 'cinehaus']",0.0
Nell,"['twentieth century fox film corporation', 'egg pictures', 'polygram filmed entertainment']",106683817.0
New Jersey Drive,['40 acres & a mule filmworks'],0.0
New York Cop,"['toei', 'distant justice joint venture']",0.0
Beyond Bedlam,['metrodome films'],0.0
Nemesis 2 - Nebula,"['filmwerks', 'imperial entertainment']",0.0
Nina Takes a Lover,['triumph films'],0.0
Natural Born Killers,"['regency enterprises', 'alcor films', 'ixtlan', 'warner bros.', 'new regency pictures', 'j d productions']",50282766.0
Only You,['tristar pictures'],0.0
Once Were Warriors,"['avalon studios', 'new zealand film commission', 'new zealand on air']",2201126.0
Poison Ivy II: Lily,"['new line cinema', 'cinetel pictures', 'mg entertainment']",0.0
Outbreak,"['kopelson entertainment', 'punch productions', 'warner bros.', 'arnold kopelson productions']",189859560.0
Leon: The Professional,"['columbia pictures', 'gaumont']",45284974.0
The Perez Family,"['samuel goldwyn company, the']",2832826.0
A Pyromaniac's Love Story,['hollywood pictures'],0.0
Pulp Fiction,"['miramax films', 'a band apart', 'jersey films']",213928762.0
Panther,"['polygram filmed entertainment', 'gramercy pictures (i)', 'mvp films']",6834525.0
Pushing Hands,['ang lee productions'],152322.0
Priest,"['bbc films', 'polygram filmed entertainment', 'miramax']",4176932.0
Quiz Show,"['wildwood enterprises', 'hollywood pictures', 'baltimore pictures']",0.0
Picture Bride,"['cecile company', 'thousand cranes filmworks']",0.0
Queen Margot,"['renn productions', 'eurimages', 'canal+', 'ard/degeto film gmbh', 'd.a. films', 'france2 cinã©ma', 'wmg film', 'centre national de la cinã©matographie (cnc)', 'n.e.f. filmproduktion und vertriebs gmbh', 'miramax', 'rcs films & tv']",0.0
The Quick and the Dead,['tristar pictures'],18552460.0
Roommates,"['hollywood pictures', 'interscope communications', 'nomura babcock & brown']",12400000.0
PrÃªt-Ã -Porter,['miramax films'],11300653.0
Three Colors: Red,"['zespã³å‚ filmowy tor', 'le studio canal+', 'france 3 cinã©ma', 'tã©lã©vision suisse-romande']",0.0
Three Colors: Blue,"['france 3 cinã©ma', 'ced productions']",0.0
Three Colors: White,"['le studio canal+', 'france 3 cinã©ma', 'eurimages']",0.0
"Red Firecracker, Green Firecracker",,0.0
Rent-a-Kid,,0.0
Relative Fear,"['allegro films', 'norstar entertainment', 'west wind entertainment']",0.0
Stuart Saves His Family,['paramount pictures'],0.0
The Swan Princess,['rich animation studios'],9771658.0
The Secret of Roan Inish,"['jones entertainment group', 'skerry productions']",0.0
The Specialist,"['jerry weintraub productions', 'warner bros.', 'iguana producciones']",170362582.0
Stargate,"['centropolis entertainment', 'studiocanal', 'carolco entertainment']",196567262.0
The Santa Clause,"['walt disney pictures', 'hollywood pictures']",189833357.0
The Shawshank Redemption,"['castle rock entertainment', 'warner bros.']",28341469.0
Shallow Grave,"['channel four films', 'figment films', 'the glasgow film fund', 'polygram filmed entertainment']",0.0
Suture,['kino korsakoff'],102780.0
Strawberry and Chocolate,"['miramax films', 'tabasco films', 'instituto mexicano de cinematografã\xada (imcine)', 'telemadrid']",0.0
Swimming with Sharks,"['cineville', 'trimark pictures']",0.0
The Sum of Us,['samuel goldwyn company'],0.0
Senior Trip,"['new line cinema', '1992 number four limited partnership', 'mha']",0.0
To Live,"['shanghai film studios', 'era international ltd']",0.0
Tank Girl,['trilogy entertainment group'],4064495.0
Tales from the Crypt: Demon Knight,"['universal pictures', 'tales from the crypt holdings']",0.0
Star Trek: Generations,['paramount pictures'],120000000.0
Tales from the Hood,"['40 acres & a mule filmworks', 'savoy pictures']",12000000.0
Tom & Viv,,0.0
Village of the Damned,['universal pictures'],0.0
Tommy Boy,['paramount pictures'],32648673.0
Vanya on 42nd Street,['sony pictures classics'],0.0
The Underneath,['populist pictures'],0.0
The Walking Dead,"['savoy pictures', 'price entertainment', 'jackson/mchenry company,the']",0.0
What's Eating Gilbert Grape,['paramount pictures'],10032765.0
Virtuosity,['paramount pictures'],24048000.0
While You Were Sleeping,"['caravan pictures', 'hollywood pictures']",182057016.0
The War,['universal pictures'],0.0
Double Happiness,"['fine line features', 'tã©lã©film canada', 'first generation films', 'national film board of canada (nfb)', 'british columbia film commission']",759393.0
Muriel's Wedding,"['ciby 2000', 'film victoria', 'house & moorhouse films']",15119639.0
The Baby-Sitters Club,"['columbia pictures corporation', 'beacon pictures']",0.0
Ace Ventura: Pet Detective,"['warner bros.', 'morgan creek productions']",107217396.0
"The Adventures of Priscilla, Queen of the Desert",['polygram filmed entertainment'],11220670.0
Backbeat,['gramercy pictures'],0.0
Bitter Moon,"['fine line features', 'r.p. productions', 'columbia pictures corporation', 'les films alain sarde', 'canal+', 'timothy burrill productions']",1862805.0
Bullets Over Broadway,['miramax films'],0.0
Clear and Present Danger,"['paramount pictures', 'mace neufeld productions']",215887717.0
The Client,"['regency enterprises', 'alcor films', 'warner bros.']",117615211.0
"Corrina, Corrina",['new line cinema'],0.0
Crooklyn,"['universal pictures', '40 acres & a mule filmworks']",0.0
The Crow,"['miramax films', 'crowvision inc.', 'entertainment media investment corporation', 'jeff most productions', 'edward r. pressman film']",94000000.0
Cobb,"['regency enterprises', 'alcor films', 'warner bros.', 'aleor films']",1007583.0
The Flintstones,"['universal pictures', 'amblin entertainment', 'hanna-barbera productions']",341631208.0
Forrest Gump,['paramount pictures'],677945399.0
Four Weddings and a Funeral,"['channel four films', 'polygram filmed entertainment', 'working title films']",254700832.0
Higher Learning,"['columbia pictures corporation', 'new deal productions']",38290723.0
I Like It Like That,"['columbia pictures corporation', 'think again productions', 'riot of color']",1777020.0
I Love Trouble,"['caravan pictures', 'touchstone pictures']",61947267.0
It Could Happen to You,['tristar pictures'],0.0
The Jungle Book,,0.0
"The Wonderful, Horrible Life of Leni Riefenstahl","['channel four films', 'arte', 'zweites deutsches fernsehen (zdf)', 'nomad films', 'omega film gmbh', 'without walls']",449707.0
The Lion King,"['walt disney pictures', 'walt disney feature animation']",788241776.0
Little Buddha,['miramax films'],4858139.0
New Nightmare,['new line cinema'],18090181.0
The Mask,"['new line cinema', 'dark horse entertainment']",351583407.0
Maverick,"['icon entertainment international', 'warner bros.']",0.0
Mrs. Parker and the Vicious Circle,"['fine line features', 'miramax films']",0.0
The Naked Gun 33â…“: The Final Insult,['paramount pictures'],51132598.0
The Paper,"['imagine entertainment', 'universal pictures']",0.0
Reality Bites,"['universal pictures', 'jersey films']",20079850.0
Red Rock West,"['propaganda films', 'polygram filmed entertainment']",2000000.0
RiÂ¢hie RiÂ¢h,"['davis entertainment', 'silver pictures', 'warner bros.']",0.0
Safe Passage,['new line cinema'],0.0
The River Wild,"['universal pictures', 'david foster productions', 'turman-foster company']",0.0
Speed,['twentieth century fox film corporation'],350448145.0
Speechless,['metro-goldwyn-mayer (mgm)'],0.0
Timecop,"['universal pictures', 'renaissance pictures', 'dark horse entertainment', 'largo entertainment', 'signature pictures', 'jvc entertainment networks']",101646581.0
True Lies,"['twentieth century fox film corporation', 'lightstorm entertainment']",378882411.0
When a Man Loves a Woman,['touchstone pictures'],50021959.0
Wolf,['columbia pictures'],0.0
Wyatt Earp,"['tig productions', 'warner bros.', 'kasdan pictures', 'paragon entertainment corp.']",25052000.0
Bad Company,"['touchstone pictures', 'tool shed productions']",0.0
A Man of No Importance,"['bbc films', 'majestic films international', 'little bird']",953.0
S.F.W.,"['gramercy pictures', 'polygram filmed entertainment']",0.0
A Low Down Dirty Shame,"['caravan pictures', 'hollywood pictures']",29392418.0
"Boys Life: Three Stories of Love, Lust, and Liberation","['strand releasing', 'strand home video']",0.0
Colonel Chabert,,0.0
"Faster, Pussycat! Kill! Kill!",['eve productions inc.'],0.0
Jason's Lyric,,20851521.0
The Secret Adventures of Tom Thumb,"['bolex brothers', 'lumen films', 'tara']",0.0
Street Fighter,"['universal pictures', 'capcom']",99423521.0
Coldblooded,"['propaganda films', 'motion picture corporation of america (mpca)', 'polygram filmed entertainment', 'snowback productions']",0.0
Desert Winds,,0.0
Fall Time,"['live entertainment', 'capitol films', 'bates entertainmant']",0.0
The Fear,"['a-pix entertainment', 'devin entertainment']",0.0
Frank and Ollie,"['walt disney pictures', 'theodore thomas productions']",0.0
Girl in the Cadillac,['overseas filmgroup'],0.0
Homage,"['skyline entertainment partners', 'arrow']",0.0
Mirage,,0.0
