belongs_to_collection,title,revenue
a nightmare on elm street collection,A Nightmare on Elm Street,25504513.0
the omen collection,The Omen,60922980.0
heart of gold collection,Breaking the Waves,3803298.0
star trek: the next generation collection,Star Trek: First Contact,150000000.0
jingle all the way collection,Jingle All the Way,129832389.0
paradise lost collection,Paradise Lost: The Child Murders at Robin Hood Hills,0.0
101 dalmatians (live-action) collection,101 Dalmatians,320689294.0
die hard collection,Die Hard 2,240031094.0
star trek: the original series collection,Star Trek: The Motion Picture,139000000.0
star trek: the original series collection,Star Trek VI: The Undiscovered Country,96900000.0
star trek: the original series collection,Star Trek V: The Final Frontier,70200000.0
star trek: the original series collection,Star Trek II: The Wrath of Khan,96800000.0
star trek: the original series collection,Star Trek III: The Search for Spock,87000000.0
star trek: the original series collection,Star Trek IV: The Voyage Home,133000000.0
batman collection,Batman Returns,280000000.0
young guns collection,Young Guns,44726644.0
young guns collection,Young Guns II,0.0
grease collection,Grease,181813770.0
grease collection,Grease 2,15171476.0
under siege collection,Under Siege,156563139.0
the jaws collection,Jaws,470654000.0
the jaws collection,Jaws 2,187884007.0
the jaws collection,Jaws 3-D,87987055.0
scream collection,Scream,173046663.0
turbulence collection,Turbulence,11466088.0
police story collection,First Strike,21890845.0
mchale's navy collection,McHale's Navy,4529843.0
national lampoon's vacation collection,Vegas Vacation,36400360.0
the saint collection,The Saint,118063304.0
barrytown trilogy,The Van,0.0
power rangers collection,Turbo: A Power Rangers Movie,17979739.0
anaconda collection,Anaconda,136885767.0
austin powers collection,Austin Powers: International Man of Mystery,67683989.0
warriors of virtue collection,Warriors of Virtue,0.0
teenage apocalypse trilogy,Nowhere,27354.0
jurassic park collection,The Lost World: Jurassic Park,229074524.0
shiloh collection,Shiloh,0.0
speed collection,Speed 2: Cruise Control,164508066.0
batman collection,Batman & Robin,238207122.0
tetsuo collection,Tetsuo II: Body Hammer,0.0
men in black collection,Men in Black,589390539.0
conan the barbarian collection,Conan the Barbarian,79114085.0
george of the jungle collection,George of the Jungle,0.0
air bud collection,Air Bud,23144499.0
free willy collection,Free Willy 3: The Rescue,0.0
mimic collection,Mimic,25480490.0
the jack ryan collection,The Hunt for Red October,199200000.0
alex cross collection,Kiss the Girls,60527873.0
wishmaster collection,Wishmaster,15719109.0
i know what you did last summer collection,I Know What You Did Last Summer,125586134.0
mr. bean collection,Bean,251212670.0
starship troopers collection,Starship Troopers,121214377.0
mortal kombat collection,Mortal Kombat: Annihilation,51376861.0
alien collection,Alien: Resurrection,162000000.0
les boys,The Boys,0.0
home alone collection,Home Alone 3,79082515.0
scream collection,Scream 2,172363301.0
james bond collection,Tomorrow Never Dies,333011068.0
the postman collection,The Postman,17626234.0
3 ninjas collection,3 Ninjas: High Noon at Mega Mountain,0.0
the prophecy collection,The Prophecy II,0.0
the blues brothers collection,Blues Brothers 2000,14051384.0
the fugitive / u.s. marshals collection,U.S. Marshals,102367405.0
wild things collection,Wild Things,67200000.0
barney collection,Barney's Great Adventure,0.0
the odd couple collection,The Odd Couple II,0.0
species collection,Species II,19165560.0
major league collection,Major League: Back to the Minors,3572443.0
henry fool collection,Henry Fool,1334786.0
mulan collection,Mulan,304320254.0
the x-files collection,The X Files,189198313.0
dr. dolittle collection,Doctor Dolittle,294456605.0
lethal weapon collection,Lethal Weapon 4,285444603.0
french connection collection,The French Connection,41158757.0
rocky collection,Rocky,117235147.0
a nightmare on elm street collection,A Nightmare on Elm Street Part 2: Freddy's Revenge,29999213.0
a nightmare on elm street collection,A Nightmare on Elm Street 3: Dream Warriors,44793222.0
a nightmare on elm street collection,A Nightmare on Elm Street 4: The Dream Master,72500000.0
a nightmare on elm street collection,A Nightmare on Elm Street 5: The Dream Child,22168359.0
a nightmare on elm street collection,Freddy's Dead: The Final Nightmare,34872033.0
friday the 13th collection,Friday the 13th,59754601.0
friday the 13th collection,Friday the 13th Part 2,21722776.0
friday the 13th collection,Friday the 13th Part III,36690067.0
friday the 13th collection,Friday the 13th: The Final Chapter,32980880.0
friday the 13th collection,Friday the 13th: A New Beginning,21930418.0
friday the 13th collection,Friday the 13th Part VI: Jason Lives,19472057.0
friday the 13th collection,Friday the 13th Part VII: The New Blood,19170001.0
friday the 13th collection,Friday the 13th Part VIII: Jason Takes Manhattan,14000000.0
halloween collection,Halloween,70000000.0
halloween collection,Halloween II,25533818.0
halloween collection,Halloween III: Season of the Witch,14400000.0
halloween collection,Halloween 4: The Return of Michael Myers,17768757.0
halloween collection,Halloween 5: The Revenge of Michael Myers,11642254.0
prom night collection,Prom Night,14796236.0
prom night collection,Hello Mary Lou: Prom Night II,2683519.0
prom night collection,Prom Night III: The Last Kiss,0.0
prom night collection,Prom Night IV: Deliver Us from Evil,0.0
child's play collection,Child's Play,44196684.0
child's play collection,Child's Play 2,35763605.0
child's play collection,Child's Play 3,20560255.0
poltergeist collection,Poltergeist,122200000.0
poltergeist collection,Poltergeist II: The Other Side,40996665.0
poltergeist collection,Poltergeist III,14144000.0
the exorcist collection,The Exorcist,441306145.0
the exorcist collection,Exorcist II: The Heretic,30749142.0
the exorcist collection,The Exorcist III,39024251.0
lethal weapon collection,Lethal Weapon,120207127.0
lethal weapon collection,Lethal Weapon 2,227853986.0
lethal weapon collection,Lethal Weapon 3,321731527.0
the gremlins collection,Gremlins,153083102.0
the gremlins collection,Gremlins 2: The New Batch,41482207.0
zorro collection,The Mask of Zorro,250288523.0
back to the future collection,Back to the Future Part II,332000000.0
back to the future collection,Back to the Future Part III,244527583.0
the poseidon adventure collection,The Poseidon Adventure,84563118.0
flubber collection,The Absent-Minded Professor,0.0
the apple dumpling gang collection,The Apple Dumpling Gang Rides Again,0.0
bambi collection,Bambi,267447150.0
the godfather collection,The Godfather: Part III,136766062.0
dexter riley collection,The Computer Wore Tennis Shoes,0.0
the mighty ducks collection,D2: The Mighty Ducks,45610410.0
herbie collection,Herbie Goes Bananas,0.0
herbie collection,Herbie Goes To Monte Carlo,0.0
"honey, i shrunk the kids collection",Honey I Blew Up the Kid,58662452.0
"honey, i shrunk the kids collection","Honey, I Shrunk the Kids",222724172.0
the jungle book collection,The Jungle Book,205843612.0
lady and the tramp collection,Lady and the Tramp,93600000.0
the little mermaid collection,The Little Mermaid,222300000.0
the mighty ducks collection,The Mighty Ducks,50752337.0
the muppet collection,The Muppet Christmas Carol,27281507.0
101 dalmatians (animated) collection,One Hundred and One Dalmatians,215880014.0
peter pan collection,Peter Pan,87404651.0
the rescuers collection,The Rescuers Down Under,47431461.0
the rescuers collection,The Rescuers,71215869.0
witch mountain collection,Return from Witch Mountain,16393000.0
aladdin collection,The Return of Jafar,0.0
the shaggy dog collection,The Shaggy D.A.,0.0
flubber collection,Son of Flubber,0.0
splash collection,Splash,69821334.0
tron collection,Tron,33000000.0
halloween collection,Halloween: H20,55041738.0
indiana jones collection,Indiana Jones and the Temple of Doom,333000000.0
the lord of the rings animated collection,The Lord of the Rings,30471420.0
children of the corn collection,Children of the Corn,14000000.0
all dogs go to heaven collection,All Dogs Go to Heaven,27100027.0
addams family collection,The Addams Family,191502426.0
charlotte's web collection,Charlotte's Web,0.0
the secret of nimh collection,The Secret of NIMH,14665733.0
fievel collection,An American Tail,84542002.0
fievel collection,An American Tail: Fievel Goes West,40766041.0
house collection,House,0.0
house collection,House II: The Second Story,7800000.0
the gods must be crazy collection,The Gods Must Be Crazy,60000000.0
the gods must be crazy collection,The Gods Must Be Crazy II,0.0
air bud collection,Air Bud: Golden Receiver,10224116.0
henry: portrait of a serial killer collection,"Henry II, Portrait of a Serial Killer",0.0
henry: portrait of a serial killer collection,Henry: Portrait of a Serial Killer,0.0
rosemary's baby collection,Rosemary's Baby,33395426.0
the neverending story collection,The NeverEnding Story,20158808.0
the neverending story collection,The Neverending Story II: The Next Chapter,16283667.0
killer tomatoes! collection,Attack of the Killer Tomatoes!,0.0
blade collection,Blade,131183530.0
cube collection,Cube,501818.0
rush hour collection,Rush Hour,244386864.0
urban legend,Urban Legend,72527595.0
the thing collection,The Thing,19629760.0
the space odyssey series,2010,40400657.0
child's play collection,Bride of Chucky,50671850.0
vampires collection,Vampires,0.0
elizabeth collection,Elizabeth,82150642.0
i know what you did last summer collection,I Still Know What You Did Last Summer,40002112.0
stepford collection,The Stepford Wives,0.0
rugrats collection,The Rugrats Movie,100491683.0
godzilla (showa) collection,Godzilla,0.0
godzilla (heisei) collection,Godzilla 1985,4100000.0
godzilla (showa) collection,King Kong vs. Godzilla,0.0
king kong (1933 series),King Kong,10000000.0
king kong (1976 series),King Kong,90614445.0
king kong (1976 series),King Kong Lives,4711220.0
fletch collection,Fletch,59612888.0
fletch collection,Fletch Lives,35150960.0
conan the barbarian collection,Red Sonja,6948633.0
james bond collection,A View to a Kill,152427960.0
police academy collection,Police Academy,146198896.0
police academy collection,Police Academy 2: Their First Assignment,55600000.0
police academy collection,Police Academy 3: Back in Training,43579163.0
police academy collection,Police Academy 4: Citizens on Patrol,28061343.0
police academy collection,Police Academy 5: Assignment Miami Beach,19510371.0
police academy collection,Police Academy 6: City Under Siege,11567217.0
babe collection,Babe: Pig in the City,69131860.0
star trek: the next generation collection,Star Trek: Insurrection,118000000.0
rambo collection,Rambo: First Blood Part II,300400432.0
rambo collection,First Blood,125212904.0
rambo collection,Rambo III,189015611.0
romancing the stone collection,The Jewel of the Nile,96773200.0
romancing the stone collection,Romancing the Stone,86572238.0
cocoon collection,Cocoon,85313124.0
cocoon collection,Cocoon: The Return,25024919.0
rocky collection,Rocky II,200182160.0
rocky collection,Rocky III,270000000.0
rocky collection,Rocky IV,300473716.0
rocky collection,Rocky V,119946358.0
the karate kid collection,The Karate Kid,90815558.0
the karate kid collection,"The Karate Kid, Part II",115103979.0
the karate kid collection,"The Karate Kid, Part III",38956288.0
national lampoon's vacation collection,National Lampoon's Christmas Vacation,71320000.0
the gate collection,The Gate,0.0
the gate collection,The Gate II: Trespassers,0.0
the fly (1958 series),The Fly,3000000.0
the fly collection,The Fly,60629159.0
the fly collection,The Fly II,38903179.0
texas chainsaw massacre collection,The Texas Chain Saw Massacre,30859000.0
texas chainsaw massacre collection,The Texas Chainsaw Massacre 2,8025872.0
texas chainsaw massacre collection,Leatherface: Texas Chainsaw Massacre III,5765562.0
texas chainsaw massacre collection,Texas Chainsaw Massacre: The Next Generation,185898.0
crocodile dundee collection,Crocodile Dundee,328203506.0
crocodile dundee collection,Crocodile Dundee II,239606210.0
the hustler collection,The Color of Money,52293982.0
8mm collection,8MM,96618699.0
pet sematary collection,Pet Sematary,57469467.0
pet sematary collection,Pet Sematary II,17092453.0
children of the corn collection,Children of the Corn II: The Final Sacrifice,6980986.0
children of the corn collection,Children of the Corn III: Urban Harvest,0.0
airport collection,Airport,100489151.0
airport collection,Airport 1975,47000000.0
airport collection,Airport '77,30000000.0
alligator collection,Alligator,0.0
westworld collection,Westworld,0.0
planet of the apes original collection,Planet of the Apes,33395426.0
planet of the apes original collection,Beneath the Planet of the Apes,18999718.0
planet of the apes original collection,Battle for the Planet of the Apes,8844595.0
planet of the apes original collection,Conquest of the Planet of the Apes,9700000.0
planet of the apes original collection,Escape from the Planet of the Apes,12348905.0
airport collection,The Concorde... Airport '79,13015688.0
the poseidon adventure collection,Beyond the Poseidon Adventure,0.0
analyze collection,Analyze This,176885658.0
cruel intentions collection,Cruel Intentions,75902208.0
carrie collection,The Rage: Carrie 2,17762705.0
the matrix collection,The Matrix,463517383.0
the mummy collection,The Mummy,415885488.0
the black mask collection,Black Mask,0.0
star wars collection,Star Wars: Episode I - The Phantom Menace,924317558.0
the mummy (universal series),The Mummy,0.0
the mummy (hammer series),The Mummy,0.0
the mummy (universal series),The Mummy's Curse,0.0
the mummy (universal series),The Mummy's Ghost,0.0
the mummy (universal series),The Mummy's Hand,0.0
the mummy (universal series),The Mummy's Tomb,0.0
superman collection,Superman,300218018.0
superman collection,Superman II,190458706.0
superman collection,Superman III,75850624.0
superman collection,Superman IV: The Quest for Peace,19300000.0
dracula (universal series),Dracula,1012189.0
dracula (universal series),House of Dracula,0.0
frankenstein (universal series),House of Frankenstein,0.0
frankenstein (universal series),Frankenstein,12000000.0
frankenstein (universal series),Son of Frankenstein,0.0
frankenstein (universal series),The Ghost of Frankenstein,0.0
the wolf man (universal series),Frankenstein Meets the Wolf Man,0.0
frankenstein (hammer series),The Curse of Frankenstein,0.0
dracula (universal series),Son of Dracula,0.0
the wolf man (universal series),The Wolf Man,0.0
the howling collection,Howling II: Stirba - Werewolf Bitch,0.0
rocky horror collection,The Rocky Horror Picture Show,112892319.0
swamp thing collection,Swamp Thing,0.0
austin powers collection,Austin Powers: The Spy Who Shagged Me,310940086.0
tarzan (animation) collection,Tarzan,448000000.0
american pie collection,American Pie,235483004.0
tales of the four seasons,Autumn Tale,0.0
the muppet collection,Muppets from Space,16290976.0
blair witch collection,The Blair Witch Project,248000000.0
lake placid collection,Lake Placid,56870414.0
ghostbusters collection,Ghostbusters,295212467.0
ghostbusters collection,Ghostbusters II,215394738.0
inspector gadget collection,Inspector Gadget,0.0
the adventures of antoine doinel,The 400 Blows,0.0
allan quatermain collection,Allan Quatermain and the Lost City of Gold,0.0
the omen collection,Damien: Omen II,26518355.0
the omen collection,Omen III: The Final Conflict,20471382.0
airplane collection,Airplane!,83453539.0
airplane collection,Airplane II: The Sequel,27150534.0
national lampoon's vacation collection,National Lampoonâ€™s European Vacation,49364621.0
national lampoon's vacation collection,National Lampoon's Vacation,61399552.0
problem child collection,Problem Child,0.0
problem child collection,Problem Child 2,0.0
a christmas story collection,A Christmas Story,19294144.0
universal soldier collection,Universal Soldier: The Return,10667893.0
universal soldier collection,Universal Soldier,0.0
iron eagle collection,Iron Eagle,0.0
iron eagle collection,Iron Eagle II,0.0
iron eagle collection,Iron Eagle III,0.0
iron eagle collection,Iron Eagle IV,0.0
the spiders serial,The Spiders - The Golden Sea,0.0
stir of echoes collection,Stir of Echoes,21133087.0
fright night collection,Fright Night,24922237.0
fright night collection,Fright Night Part 2,2983784.0
armour of god collection,Armour of God II: Operation Condor,0.0
armour of god collection,Armour of God,0.0
phantasm collection,Phantasm,11988469.0
psycho collection,Psycho II,34725000.0
psycho collection,Psycho III,14481606.0
drunken master collection,Drunken Master,0.0
the dirty dozen collection,The Dirty Dozen,45300000.0
james bond collection,Goldfinger,124881062.0
james bond collection,From Russia with Love,78898765.0
james bond collection,Dr. No,59600000.0
the blue lagoon collection,The Blue Lagoon,58853106.0
the man with no name collection,A Fistful of Dollars,14500000.0
home alone collection,Home Alone 2: Lost in New York,358991681.0
penitenciarã­a - colecciã³n,Penitentiary,0.0
penitenciarã­a - colecciã³n,Penitentiary II,0.0
omega code series,The Omega Code,2400000.0
bats collection,Bats,10.0
the best man collection,The Best Man,34573780.0
harry palmer collection,The Ipcress File,0.0
on any sunday collection,On Any Sunday,0.0
robocop collection,RoboCop,53000000.0
robocop collection,RoboCop 2,45681173.0
james bond collection,For Your Eyes Only,195312802.0
james bond collection,Licence to Kill,156167015.0
james bond collection,Live and Let Die,161777836.0
james bond collection,Thunderball,141195658.0
house on haunted hill collection,House on Haunted Hill,40846082.0
re-animator collection,Bride of Re-Animator,0.0
creepshow collection,Creepshow,21028755.0
creepshow collection,Creepshow 2,14000000.0
re-animator collection,Re-Animator,2023414.0
piranha collection,Piranha,0.0
mister roberts collection,Mister Roberts,0.0
meatballs collection,Meatballs,0.0
meatballs collection,Meatballs Part II,0.0
meatballs collection,Meatballs III: Summer Job,0.0
meatballs collection,Meatballs 4,0.0
pokã©mon collection,PokÃ©mon: The First Movie: Mewtwo Strikes Back,163644662.0
barrytown trilogy,The Commitments,0.0
poison ivy collection,Poison Ivy,0.0
poison ivy collection,Poison Ivy: The New Seduction,0.0
the up series,42 Up,0.0
james bond collection,The World Is Not Enough,361832400.0
toy story collection,Toy Story 2,497366869.0
the jake gittes collection,The Two Jakes,10000000.0
deuce bigalow collection,Deuce Bigalow: Male Gigolo,65535067.0
the last picture show collection,The Last Picture Show,29133000.0
the sinbad collection,The 7th Voyage of Sinbad,0.0
stuart little collection,Stuart Little,300135367.0
fantasia collection,Fantasia 2000,90874570.0
friday collection,Next Friday,59827328.0
batman (dc universe animated) collection,Batman: Mask of the Phantasm,5617391.0
sister act collection,Sister Act,231605150.0
sister act collection,Sister Act 2: Back in the Habit,57319029.0
wayne's world collection,Wayne's World,121697323.0
wayne's world collection,Wayne's World 2,47965000.0
the jack ryan collection,Patriot Games,178051587.0
mexico trilogy,El Mariachi,2040920.0
the cutting edge collection,The Cutting Edge,25105517.0
scream collection,Scream 3,161834276.0
single white female collection,Single White Female,48017402.0
the boondock saints collection,The Boondock Saints,30471.0
"to sir, with love collection","To Sir, with Love",0.0
the chronicles of riddick collection,Pitch Black,53187659.0
the whole nine/ten yards collection,The Whole Nine Yards,106371651.0
cross of iron collection,Cross of Iron,0.0
american graffiti collection,American Graffiti,140000000.0
the muppet collection,The Muppet Movie,76657000.0
the muppet collection,The Muppets Take Manhattan,0.0
final destination collection,Final Destination,53302314.0
death wish collection,Death Wish,22000000.0
death wish collection,Death Wish 2,45000000.0
death wish collection,Death Wish 3,16945171.0
death wish collection,Death Wish 4: The Crackdown,0.0
death wish collection,Death Wish 5: The Face of Death,1702394.0
teenage mutant ninja turtles (original) collection,Teenage Mutant Ninja Turtles,202000000.0
teenage mutant ninja turtles (original) collection,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78000000.0
teenage mutant ninja turtles (original) collection,Teenage Mutant Ninja Turtles III,42000000.0
bloodsport collection,Bloodsport,11806119.0
grumpy old men collection,Grumpy Old Men,0.0
the hustler collection,The Hustler,7600000.0
the skulls collection,The Skulls,35007180.0
the odd couple collection,The Odd Couple,44527234.0
navarone collection,Force 10 from Navarone,7230000.0
beach party collection,How to Stuff a Wild Bikini,0.0
arthur collection,Arthur,95461682.0
bachelor party collection,Bachelor Party,38435947.0
predator collection,Predator,98235548.0
american psycho collection,American Psycho,34266564.0
east is east collection,East Is East,28200000.0
caddyshack collection,Caddyshack,39846344.0
the crow collection,The Crow: Salvation,0.0
the flintstones (live-action) collection,The Flintstones in Viva Rock Vegas,59468275.0
heart of gold collection,The Idiots,7235.0
carnosaur collection,Carnosaur,1753979.0
carnosaur collection,Carnosaur 2,0.0
carnosaur collection,Carnosaur 3: Primal Species,0.0
hidden collection,The Hidden,0.0
the three mothers collection,Inferno,0.0
die nibelungen filmreihe,"The Nibelungs, Tale 1: Siegfried",0.0
center stage collection,Center Stage,17200925.0
pee-wee's collection,Pee-wee's Big Adventure,40940662.0
caballeros collection,Saludos Amigos,0.0
road trip collection,Road Trip,119754278.0
mission: impossible collection,Mission: Impossible II,546388105.0
shanghai noon collection,Shanghai Noon,56932305.0
james bond collection,On Her Majesty's Secret Service,81974493.0
james bond collection,The Spy Who Loved Me,185438673.0
james bond collection,Moonraker,210308099.0
james bond collection,The Man with the Golden Gun,97572000.0
big momma's house collection,Big Momma's House,173959438.0
the endless summer collection,The Endless Summer,0.0
navarone collection,The Guns of Navarone,28900000.0
quatermass (hammer series),Quatermass and the Pit,0.0
quatermass (hammer series),Quatermass II,0.0
puppet master collection,Puppet Master,0.0
puppet master collection,Puppet Master II,0.0
puppet master collection,Puppet Master III Toulon's Revenge,0.0
puppet master collection,Puppet Master 4,0.0
puppet master collection,Puppet Master 5: The Final Chapter,0.0
puppet master collection,Curse of the Puppet Master,0.0
puppet master collection,Retro Puppet Master,0.0
the benji collection,Benji,0.0
the benji collection,Benji the Hunted,0.0
the benji collection,For the Love of Benji,0.0
the decline of western civilization collection,The Decline of Western Civilization,0.0
the decline of western civilization collection,The Decline of Western Civilization Part II: The Metal Years,0.0
the man with no name collection,For a Few Dollars More,15000000.0
