title,revenue,budget,return,release_year
screamers,5781885.0,20000000.0,0.28909425,1995
nico icon,0.0,0.0,0.0,1995
the crossing guard,0.0,0.0,0.0,1995
the juror,0.0,44000000.0,0.0,1996
the white balloon,0.0,0.0,0.0,1995
things to do in denver when you're dead,529766.0,8000000.0,0.06622075,1995
antonia's line,0.0,900000.0,0.0,1995
once upon a time... when we were colored,0.0,0.0,0.0,1996
last summer in the hamptons,0.0,0.0,0.0,1995
angels and insects,0.0,0.0,0.0,1995
white squall,10300000.0,38000000.0,0.2710526315789474,1996
dunston checks in,0.0,16000000.0,0.0,1996
black sheep,32.0,0.0,0.0,1996
nick of time,8175346.0,8169363.0,1.000732370443081,1995
the journey of august king,0.0,0.0,0.0,1995
mary reilly,12379402.0,47000000.0,0.2633915319148936,1996
vampire in brooklyn,19800000.0,14000000.0,1.4142857142857144,1995
beautiful girls,0.0,0.0,0.0,1996
broken arrow,150270147.0,50000000.0,3.00540294,1996
a midwinter's tale,0.0,0.0,0.0,1995
la haine,0.0,3000000.0,0.0,1995
shopping,0.0,0.0,0.0,1994
heidi fleiss: hollywood madam,0.0,0.0,0.0,1995
city hall,0.0,0.0,0.0,1996
bottle rocket,560069.0,7000000.0,0.0800098571428571,1996
mr. wrong,0.0,0.0,0.0,1996
unforgettable,0.0,18000000.0,0.0,1996
happy gilmore,41205099.0,12000000.0,3.43375825,1996
the bridges of madison county,182016617.0,24000000.0,7.584025708333333,1995
nobody loves me,0.0,0.0,0.0,1994
muppet treasure island,34327391.0,0.0,0.0,1996
catwalk,0.0,0.0,0.0,1995
headless body in topless bar,0.0,0.0,0.0,1995
braveheart,210000000.0,72000000.0,2.9166666666666665,1995
taxi driver,28262574.0,1300000.0,21.74044153846154,1976
rumble in the bronx,32392047.0,7500000.0,4.3189396,1995
before and after,0.0,35000000.0,0.0,1996
margaret's museum,0.0,0.0,0.0,1995
happiness is in the field,0.0,13365000.0,0.0,1995
anne frank remembered,1.0,0.0,0.0,1995
the young poisoner's handbook,0.0,0.0,0.0,1995
if lucy fell,0.0,0.0,0.0,1996
steal big steal little,6278139.0,25000000.0,0.25112556,1995
race the sun,0.0,0.0,0.0,1996
the boys of st. vincent,0.0,0.0,0.0,1992
boomerang,70100000.0,40000000.0,1.7525,1992
chungking express,0.0,0.0,0.0,1994
the star maker,0.0,0.0,0.0,1995
flirting with disaster,14702438.0,7000000.0,2.100348285714286,1996
the neverending story iii: escape from fantasia,0.0,17000000.0,0.0,1994
the silences of the palace,0.0,0.0,0.0,1994
jupiter's wife,0.0,0.0,0.0,1995
pie in the sky,0.0,0.0,0.0,1996
angela,0.0,0.0,0.0,1995
frankie starlight,0.0,0.0,0.0,1995
jade,9851610.0,50000000.0,0.1970322,1995
nueba yol,0.0,0.0,0.0,1995
sonic outlaws,0.0,0.0,0.0,1995
down periscope,0.0,0.0,0.0,1996
from the journals of jean seberg,0.0,0.0,0.0,1995
man of the year,209935.0,0.0,0.0,1995
the neon bible,0.0,0.0,0.0,1995
target,0.0,0.0,0.0,1995
up close & personal,0.0,60000000.0,0.0,1996
the birdcage,185260553.0,31000000.0,5.976146870967742,1996
virgin mary,0.0,0.0,0.0,1995
the brothers mcmullen,0.0,0.0,0.0,1995
bad boys,141407024.0,19000000.0,7.442474947368421,1995
the amazing panda adventure,0.0,0.0,0.0,1995
the basketball diaries,0.0,0.0,0.0,1995
an awfully big adventure,851545.0,4000000.0,0.21288625,1995
amateur,0.0,0.0,0.0,1994
apollo 13,355237933.0,52000000.0,6.831498711538462,1995
rob roy,31596911.0,28000000.0,1.1284611071428572,1995
the addiction,0.0,0.0,0.0,1995
batman forever,336529144.0,100000000.0,3.36529144,1995
belle de jour,0.0,0.0,0.0,1967
beyond rangoon,0.0,0.0,0.0,1995
blue in the face,1275000.0,2000000.0,0.6375,1995
canadian bacon,178104.0,11000000.0,0.0161912727272727,1995
casper,287928194.0,50000000.0,5.75856388,1995
clockers,13071518.0,25000000.0,0.52286072,1995
congo,152022101.0,50000000.0,3.04044202,1995
crimson tide,157387195.0,53000000.0,2.969569716981132,1995
crumb,3174695.0,0.0,0.0,1994
desperado,25405445.0,7000000.0,3.6293492857142855,1995
devil in a blue dress,16140822.0,27000000.0,0.5978082222222222,1995
die hard: with a vengeance,366101666.0,90000000.0,4.067796288888889,1995
the doom generation,0.0,0.0,0.0,1995
feast of july,0.0,0.0,0.0,1995
first knight,127600435.0,55000000.0,2.320007909090909,1995
free willy 2 - the adventure home,0.0,0.0,0.0,1995
hackers,7563728.0,20000000.0,0.3781864,1995
jeffrey,0.0,0.0,0.0,1995
johnny mnemonic,19075720.0,25000000.0,0.7630288,1995
judge dredd,113493481.0,90000000.0,1.2610386777777778,1995
jury duty,17014653.0,0.0,0.0,1995
kids,7412216.0,1500000.0,4.941477333333333,1995
living in oblivion,1148752.0,500000.0,2.297504,1995
lord of illusions,0.0,0.0,0.0,1995
love & human remains,0.0,0.0,0.0,1993
mad love,15453274.0,0.0,0.0,1995
mallrats,2122561.0,6000000.0,0.3537601666666666,1995
mighty morphin power rangers: the movie,66000000.0,15000000.0,4.4,1995
moonlight and valentino,0.0,0.0,0.0,1995
mute witness,1.0,2.0,0.5,1995
nadja,0.0,0.0,0.0,1994
the net,110627965.0,22000000.0,5.028543863636363,1995
nine months,69660733.0,0.0,0.0,1995
party girl,472370.0,150000.0,3.1491333333333333,1995
the prophecy,16.0,8.0,2.0,1995
reckless,0.0,0.0,0.0,1995
safe,0.0,0.0,0.0,1995
the scarlet letter,10382407.0,50000000.0,0.20764814,1995
the show,0.0,0.0,0.0,1995
showgirls,20350754.0,45000000.0,0.4522389777777778,1995
smoke,8349430.0,7000000.0,1.1927757142857145,1995
something to talk about,50892160.0,0.0,0.0,1995
species,113374103.0,35000000.0,3.2392600857142857,1995
the stars fell on henrietta,0.0,0.0,0.0,1995
strange days,7959291.0,42000000.0,0.1895069285714285,1995
the umbrellas of cherbourg,0.0,0.0,0.0,1964
the tie that binds,5780000.0,14000000.0,0.4128571428571428,1995
three wishes,7025496.0,0.0,0.0,1995
total eclipse,339889.0,0.0,0.0,1995
"to wong foo, thanks for everything! julie newmar",47774193.0,0.0,0.0,1995
under siege 2: dark territory,104324083.0,60000000.0,1.738734716666667,1995
unstrung heroes,0.0,0.0,0.0,1995
unzipped,0.0,0.0,0.0,1995
a walk in the clouds,50012507.0,20000000.0,2.50062535,1995
waterworld,264218220.0,175000000.0,1.5098184,1995
white man's burden,0.0,8000000.0,0.0,1995
wild bill,0.0,30000000.0,0.0,1995
the browning version,0.0,0.0,0.0,1994
bushwhacked,0.0,0.0,0.0,1995
burnt by the sun,2616503.0,2800000.0,0.9344653571428572,1994
before the rain,763847.0,0.0,0.0,1994
before sunrise,5535405.0,2500000.0,2.214162,1995
billy madison,26488734.0,10000000.0,2.6488734,1995
the babysitter,0.0,0.0,0.0,1995
boys on the side,23450000.0,21000000.0,1.1166666666666667,1995
the cure,0.0,0.0,0.0,1995
castle freak,0.0,0.0,0.0,1995
circle of friends,0.0,0.0,0.0,1995
clerks,3151130.0,27000.0,116.70851851851852,1994
don juan demarco,22200000.0,25000000.0,0.888,1994
disclosure,214015089.0,55000000.0,3.891183436363636,1994
dream man,0.0,0.0,0.0,1995
drop zone,0.0,45000000.0,0.0,1994
destiny turns on the radio,0.0,0.0,0.0,1995
death and the maiden,0.0,0.0,0.0,1994
dolores claiborne,0.0,0.0,0.0,1995
dumb and dumber,247275374.0,16000000.0,15.454710875,1994
eat drink man woman,7294403.0,0.0,0.0,1994
exotica,0.0,0.0,0.0,1994
exit to eden,6841570.0,0.0,0.0,1994
ed wood,5887457.0,18000000.0,0.3270809444444444,1994
french kiss,0.0,0.0,0.0,1995
forget paris,0.0,0.0,0.0,1995
far from home: the adventures of yellow dog,0.0,0.0,0.0,1995
a goofy movie,35348597.0,0.0,0.0,1995
hideaway,12201255.0,15000000.0,0.813417,1995
fluke,0.0,0.0,0.0,1995
farinelli,0.0,0.0,0.0,1994
gordy,3992809.0,0.0,0.0,1995
gumby: the movie,0.0,0.0,0.0,1995
the glass shield,0.0,0.0,0.0,1994
hoop dreams,7830611.0,700000.0,11.186587142857142,1994
heavenly creatures,3049135.0,5000000.0,0.609827,1994
houseguest,26325256.0,10500000.0,2.507167238095238,1995
immortal beloved,0.0,120.0,0.0,1994
heavyweights,17689177.0,0.0,0.0,1995
the hunted,0.0,0.0,0.0,1995
i.q.,0.0,25000000.0,0.0,1994
interview with the vampire,223664608.0,60000000.0,3.7277434666666656,1994
jefferson in paris,2474000.0,14000000.0,0.1767142857142857,1995
the jerky boys,0.0,0.0,0.0,1995
junior,37000000.0,60000000.0,0.6166666666666667,1994
just cause,0.0,0.0,0.0,1995
a kid in king arthur's court,0.0,0.0,0.0,1995
kiss of death,0.0,40000000.0,0.0,1995
star wars,775398007.0,11000000.0,70.49072790909091,1977
little women,0.0,18000000.0,0.0,1994
a little princess,0.0,17000000.0,0.0,1995
ladybird ladybird,0.0,0.0,0.0,1994
l'enfer,0.0,10000000.0,0.0,1994
like water for chocolate,21665468.0,2000000.0,10.832734,1992
legends of the fall,160638883.0,30000000.0,5.354629433333334,1994
major payne,0.0,0.0,0.0,1995
little odessa,0.0,0.0,0.0,1994
mi vida loca,0.0,0.0,0.0,1994
love affair,0.0,60000000.0,0.0,1994
losing isaiah,7603766.0,17000000.0,0.4472803529411764,1995
the madness of king george,0.0,0.0,0.0,1994
mary shelley's frankenstein,112006296.0,45000000.0,2.4890288,1994
man of the house,0.0,0.0,0.0,1995
mixed nuts,0.0,15000000.0,0.0,1994
milk money,18137661.0,0.0,0.0,1994
miracle on 34th street,46264384.0,0.0,0.0,1994
miami rhapsody,5.0,6.0,0.8333333333333334,1995
my family,0.0,5500000.0,0.0,1995
murder in the first,17381942.0,0.0,0.0,1995
nobody's fool,0.0,0.0,0.0,1994
nell,106683817.0,31000000.0,3.441413451612904,1994
new jersey drive,0.0,0.0,0.0,1995
new york cop,0.0,0.0,0.0,1993
beyond bedlam,0.0,4800000.0,0.0,1994
nemesis 2 - nebula,0.0,0.0,0.0,1995
nina takes a lover,0.0,0.0,0.0,1995
natural born killers,50282766.0,34000000.0,1.4789048823529412,1994
only you,0.0,0.0,0.0,1994
once were warriors,2201126.0,0.0,0.0,1994
poison ivy ii: lily,0.0,0.0,0.0,1996
outbreak,189859560.0,50000000.0,3.7971912,1995
leon: the professional,45284974.0,16000000.0,2.830310875,1994
the perez family,2832826.0,11000000.0,0.2575296363636363,1995
a pyromaniac's love story,0.0,0.0,0.0,1995
pulp fiction,213928762.0,8000000.0,26.74109525,1994
panther,6834525.0,0.0,0.0,1995
pushing hands,152322.0,400000.0,0.380805,1992
priest,4176932.0,0.0,0.0,1994
quiz show,0.0,0.0,0.0,1994
picture bride,0.0,0.0,0.0,1995
queen margot,0.0,0.0,0.0,1994
the quick and the dead,18552460.0,32000000.0,0.579764375,1995
roommates,12400000.0,22000000.0,0.5636363636363636,1995
prãªt-ã -porter,11300653.0,15000000.0,0.7533768666666667,1994
three colors: red,0.0,0.0,0.0,1994
three colors: blue,0.0,0.0,0.0,1993
three colors: white,0.0,0.0,0.0,1994
"red firecracker, green firecracker",0.0,0.0,0.0,1994
rent-a-kid,0.0,0.0,0.0,1995
relative fear,0.0,0.0,0.0,1995
stuart saves his family,0.0,0.0,0.0,1995
the swan princess,9771658.0,35000000.0,0.2791902285714285,1994
the secret of roan inish,0.0,0.0,0.0,1994
the specialist,170362582.0,45000000.0,3.785835155555556,1994
stargate,196567262.0,55000000.0,3.5739502181818184,1994
the santa clause,189833357.0,22000000.0,8.628788954545454,1994
the shawshank redemption,28341469.0,25000000.0,1.13365876,1994
shallow grave,0.0,0.0,0.0,1994
suture,102780.0,0.0,0.0,1993
strawberry and chocolate,0.0,0.0,0.0,1993
swimming with sharks,0.0,0.0,0.0,1994
the sum of us,0.0,32.0,0.0,1994
senior trip,0.0,0.0,0.0,1995
to live,0.0,0.0,0.0,1994
tank girl,4064495.0,25000000.0,0.1625798,1995
tales from the crypt: demon knight,0.0,0.0,0.0,1995
star trek: generations,120000000.0,38000000.0,3.1578947368421053,1994
tales from the hood,12000000.0,6000000.0,2.0,1995
tom & viv,0.0,0.0,0.0,1994
village of the damned,0.0,0.0,0.0,1995
tommy boy,32648673.0,0.0,0.0,1995
vanya on 42nd street,0.0,0.0,0.0,1994
the underneath,0.0,6500000.0,0.0,1995
the walking dead,0.0,0.0,0.0,1995
what's eating gilbert grape,10032765.0,11000000.0,0.9120695454545454,1993
virtuosity,24048000.0,30000000.0,0.8016,1995
while you were sleeping,182057016.0,17000000.0,10.709236235294116,1995
the war,0.0,0.0,0.0,1994
double happiness,759393.0,0.0,0.0,1994
muriel's wedding,15119639.0,3000000.0,5.039879666666667,1994
the baby-sitters club,0.0,0.0,0.0,1995
ace ventura: pet detective,107217396.0,15000000.0,7.1478264,1994
"the adventures of priscilla, queen of the desert",11220670.0,0.0,0.0,1994
backbeat,0.0,0.0,0.0,1994
bitter moon,1862805.0,5000000.0,0.372561,1992
bullets over broadway,0.0,0.0,0.0,1994
clear and present danger,215887717.0,62000000.0,3.482059951612903,1994
the client,117615211.0,45000000.0,2.613671355555556,1994
"corrina, corrina",0.0,0.0,0.0,1994
crooklyn,0.0,0.0,0.0,1994
the crow,94000000.0,15000000.0,6.266666666666667,1994
cobb,1007583.0,0.0,0.0,1994
the flintstones,341631208.0,46000000.0,7.426765391304348,1994
forrest gump,677945399.0,55000000.0,12.326279981818182,1994
four weddings and a funeral,254700832.0,6000000.0,42.45013866666667,1994
higher learning,38290723.0,0.0,0.0,1995
i like it like that,1777020.0,0.0,0.0,1994
i love trouble,61947267.0,45000000.0,1.3766059333333334,1994
it could happen to you,0.0,0.0,0.0,1994
the jungle book,0.0,0.0,0.0,1994
"the wonderful, horrible life of leni riefenstahl",449707.0,0.0,0.0,1993
the lion king,788241776.0,45000000.0,17.516483911111113,1994
little buddha,4858139.0,35000000.0,0.1388039714285714,1993
new nightmare,18090181.0,14000000.0,1.2921557857142858,1994
the mask,351583407.0,23000000.0,15.286235086956522,1994
maverick,0.0,0.0,0.0,1994
mrs. parker and the vicious circle,0.0,0.0,0.0,1994
the naked gun 33â…“: the final insult,51132598.0,30000000.0,1.7044199333333334,1994
the paper,0.0,6000000.0,0.0,1994
reality bites,20079850.0,11500000.0,1.7460739130434784,1994
red rock west,2000000.0,8000000.0,0.25,1993
riâ¢hie riâ¢h,0.0,40000000.0,0.0,1994
safe passage,0.0,0.0,0.0,1994
the river wild,0.0,45000000.0,0.0,1994
speed,350448145.0,30000000.0,11.681604833333331,1994
speechless,0.0,0.0,0.0,1994
timecop,101646581.0,27000000.0,3.764688185185185,1994
true lies,378882411.0,115000000.0,3.2946296608695653,1994
when a man loves a woman,50021959.0,0.0,0.0,1994
wolf,0.0,0.0,0.0,1994
wyatt earp,25052000.0,63000000.0,0.3976507936507936,1994
bad company,0.0,0.0,0.0,1995
a man of no importance,953.0,0.0,0.0,1994
s.f.w.,0.0,0.0,0.0,1994
a low down dirty shame,29392418.0,10000000.0,2.9392418,1994
"boys life: three stories of love, lust, and liberation",0.0,0.0,0.0,1994
colonel chabert,0.0,0.0,0.0,1994
"faster, pussycat! kill! kill!",0.0,45000.0,0.0,1965
jason's lyric,20851521.0,7000000.0,2.9787887142857143,1994
the secret adventures of tom thumb,0.0,0.0,0.0,1993
street fighter,99423521.0,35000000.0,2.8406720285714284,1994
coldblooded,0.0,0.0,0.0,1995
desert winds,0.0,0.0,0.0,1997
fall time,0.0,0.0,0.0,1995
the fear,0.0,0.0,0.0,1995
frank and ollie,0.0,0.0,0.0,1995
girl in the cadillac,0.0,0.0,0.0,1995
homage,0.0,0.0,0.0,1995
mirage,0.0,0.0,0.0,1995
open season,0.0,0.0,0.0,1996
dos crã­menes,0.0,0.0,0.0,1995
brother minister: the assassination of malcolm x,0.0,0.0,0.0,1995
highlander: the final dimension,36800000.0,26000000.0,1.4153846153846157,1994
federal hill,0.0,0.0,0.0,1995
in the mouth of madness,8946600.0,8000000.0,1.118325,1994
8 seconds,0.0,0.0,0.0,1994
above the rim,0.0,0.0,0.0,1994
addams family values,48919043.0,0.0,0.0,1993
martin lawrence: you so crazy,0.0,0.0,0.0,1994
the age of innocence,32255440.0,34000000.0,0.948689411764706,1993
airheads,0.0,0.0,0.0,1994
the air up there,21011500.0,17080000.0,1.2301814988290398,1994
another stakeout,0.0,0.0,0.0,1993
bad girls,15240435.0,0.0,0.0,1994
barcelona,0.0,3200000.0,0.0,1994
being human,0.0,40000000.0,0.0,1994
the beverly hillbillies,0.0,0.0,0.0,1993
beverly hills cop iii,119208989.0,50000000.0,2.38417978,1994
black beauty,0.0,0.0,0.0,1994
blink,16668552.0,0.0,0.0,1994
blown away,30156002.0,0.0,0.0,1994
blue chips,0.0,0.0,0.0,1994
blue sky,0.0,0.0,0.0,1994
body snatchers,428868.0,13000000.0,0.0329898461538461,1993
boxing helena,1796389.0,0.0,0.0,1993
a bronx tale,17287898.0,22000000.0,0.7858135454545454,1993
cabin boy,3662459.0,0.0,0.0,1994
calendar girl,2570145.0,13000000.0,0.1977034615384615,1993
carlito's way,36516012.0,30000000.0,1.2172004,1993
city slickers ii: the legend of curly's gold,0.0,0.0,0.0,1994
clean slate,7355425.0,0.0,0.0,1994
cliffhanger,255000211.0,70000000.0,3.642860157142857,1993
coneheads,0.0,0.0,0.0,1993
color of night,19726050.0,40000000.0,0.49315125,1994
cops & robbersons,0.0,0.0,0.0,1994
the cowboy way,0.0,0.0,0.0,1994
dangerous game,0.0,0.0,0.0,1993
dave,63000000.0,0.0,0.0,1993
dazed and confused,7993039.0,6900000.0,1.1584114492753623,1993
demolition man,159055768.0,57000000.0,2.7904520701754385,1993
the endless summer 2,0.0,0.0,0.0,1994
even cowgirls get the blues,0.0,8000000.0,0.0,1994
fatal instinct,0.0,0.0,0.0,1993
farewell my concubine,0.0,0.0,0.0,1993
the favor,0.0,0.0,0.0,1994
fearless,0.0,0.0,0.0,1993
fear of a black hat,0.0,0.0,0.0,1994
with honors,0.0,0.0,0.0,1994
flesh and bone,9488998.0,0.0,0.0,1993
widows' peak,0.0,0.0,0.0,1994
for love or money,11146270.0,30000000.0,0.3715423333333333,1993
the firm,270248367.0,42000000.0,6.434484928571429,1993
free willy,153698625.0,20000000.0,7.68493125,1993
fresh,0.0,0.0,0.0,1994
the fugitive,368875760.0,44000000.0,8.38354,1993
geronimo: an american legend,18635620.0,35000000.0,0.5324462857142858,1993
the getaway,30.0,0.0,0.0,1994
getting even with dad,0.0,30000000.0,0.0,1994
go fish,0.0,0.0,0.0,1994
a good man in africa,0.0,0.0,0.0,1994
guilty as sin,22886222.0,0.0,0.0,1993
hard target,74189677.0,18000000.0,4.121648722222222,1993
heaven & earth,0.0,33000000.0,0.0,1993
hot shots! part deux,133752825.0,25000000.0,5.350113,1993
live nude girls,0.0,0.0,0.0,1995
the englishman who went up a hill but came down a mountain,0.0,0.0,0.0,1995
the house of the spirits,0.0,25000000.0,0.0,1993
house party 3,0.0,0.0,0.0,1994
the hudsucker proxy,0.0,30000000.0,0.0,1994
i'll do anything,0.0,40000000.0,0.0,1994
in the army now,28881266.0,0.0,0.0,1994
in the line of fire,176997168.0,40000000.0,4.4249292,1993
in the name of the father,65796862.0,13000000.0,5.0612970769230765,1993
the inkwell,8880705.0,0.0,0.0,1994
what's love got to do with it,0.0,0.0,0.0,1993
jimmy hollywood,0.0,30000000.0,0.0,1994
judgment night,12136938.0,0.0,0.0,1993
jurassic park,920100000.0,63000000.0,14.604761904761904,1993
kalifornia,2395231.0,9000000.0,0.2661367777777778,1993
killing zoe,418961.0,1500000.0,0.2793073333333333,1993
king of the hill,0.0,0.0,0.0,1993
lassie,0.0,0.0,0.0,1994
last action hero,137298489.0,85000000.0,1.6152763411764706,1993
life with mikey,0.0,0.0,0.0,1993
lightning jack,0.0,0.0,0.0,1994
m. butterfly,1499795.0,0.0,0.0,1993
made in america,0.0,22000000.0,0.0,1993
malice,46405336.0,0.0,0.0,1993
the man without a face,24760338.0,0.0,0.0,1993
manhattan murder mystery,11285588.0,13500000.0,0.8359694814814815,1993
menace ii society,27900000.0,3500000.0,7.9714285714285715,1993
executive decision,121969216.0,55000000.0,2.217622109090909,1996
in the realm of the senses,0.0,0.0,0.0,1976
what happened was...,0.0,0.0,0.0,1994
much ado about nothing,0.0,8000000.0,0.0,1993
mr. jones,0.0,0.0,0.0,1993
mr. wonderful,0.0,0.0,0.0,1993
mrs. doubtfire,441286195.0,25000000.0,17.6514478,1993
naked,0.0,0.0,0.0,1993
the next karate kid,15826984.0,12000000.0,1.3189153333333334,1994
the new age,0.0,0.0,0.0,1994
no escape,15340000.0,20000000.0,0.767,1994
north,0.0,40000000.0,0.0,1994
orlando,0.0,4000000.0,0.0,1992
a perfect world,135130999.0,30000000.0,4.504366633333333,1993
philadelphia,206678440.0,26000000.0,7.949170769230769,1993
the piano,116700000.0,7000000.0,16.67142857142857,1993
poetic justice,27515786.0,14000000.0,1.9654132857142856,1993
the program,23042200.0,0.0,0.0,1993
the puppet masters,8638072.0,0.0,0.0,1994
radioland murders,0.0,0.0,0.0,1994
the ref,11439193.0,11000000.0,1.0399266363636364,1994
the remains of the day,23237911.0,11500000.0,2.0206879130434783,1993
renaissance man,24332324.0,40000000.0,0.6083081,1994
rising sun,107198790.0,0.0,0.0,1993
the road to wellville,0.0,0.0,0.0,1994
robocop 3,10696210.0,22000000.0,0.4861913636363636,1993
robin hood: men in tights,35739755.0,20000000.0,1.78698775,1993
romeo is bleeding,3275585.0,11500000.0,0.2848334782608696,1993
romper stomper,0.0,0.0,0.0,1992
ruby in paradise,1001437.0,800000.0,1.25179625,1993
rudy,22750363.0,12000000.0,1.8958635833333333,1993
the saint of fort washington,0.0,0.0,0.0,1993
savage nights,0.0,0.0,0.0,1992
schindler's list,321365567.0,22000000.0,14.607525772727271,1993
the scout,0.0,0.0,0.0,1994
searching for bobby fischer,7266383.0,0.0,0.0,1993
second best,0.0,0.0,0.0,1994
the secret garden,0.0,0.0,0.0,1993
serial mom,7820688.0,13000000.0,0.6015913846153846,1994
the shadow,48063435.0,25000000.0,1.9225374,1994
shadowlands,0.0,22000000.0,0.0,1993
short cuts,6110979.0,0.0,0.0,1993
a simple twist of fate,0.0,0.0,0.0,1994
sirens,7770731.0,0.0,0.0,1993
six degrees of separation,0.0,0.0,0.0,1993
sleepless in seattle,227799884.0,21000000.0,10.847613523809525,1993
sliver,116300000.0,40000000.0,2.9075,1993
blade runner,33139618.0,28000000.0,1.1835577857142856,1982
son in law,36448200.0,0.0,0.0,1993
so i married an axe murderer,11585483.0,20000000.0,0.57927415,1993
striking distance,0.0,30.0,0.0,1993
harem,0.0,0.0,0.0,1985
super mario bros.,20915465.0,48000000.0,0.4357388541666667,1993
surviving the game,7690013.0,7400000.0,1.039190945945946,1994
terminal velocity,16478900.0,50000000.0,0.329578,1994
thirty two short films about glenn gould,0.0,0.0,0.0,1993
threesome,0.0,0.0,0.0,1994
the nightmare before christmas,75634409.0,18000000.0,4.201911611111111,1993
the three musketeers,53898845.0,30000000.0,1.7966281666666666,1993
tombstone,56505065.0,25000000.0,2.2602026,1993
trial by jury,0.0,0.0,0.0,1994
true romance,12281551.0,12500000.0,0.98252408,1993
the war room,0.0,0.0,0.0,1993
the pagemaster,13670688.0,27000000.0,0.5063217777777778,1994
"paris, france",0.0,0.0,0.0,1994
"the beans of egypt, maine",0.0,0.0,0.0,1994
killer,0.0,0.0,0.0,1994
welcome to the dollhouse,0.0,0.0,0.0,1995
germinal,0.0,0.0,0.0,1993
chasers,1596687.0,0.0,0.0,1994
cronos,0.0,0.0,0.0,1993
naked in new york,0.0,0.0,0.0,1993
kika,0.0,0.0,0.0,1993
bhaji on the beach,0.0,0.0,0.0,1994
little big league,0.0,0.0,0.0,1994
the slingshot,0.0,0.0,0.0,1993
wide eyed and legless,0.0,0.0,0.0,1993
foreign student,0.0,0.0,0.0,1994
