,title,revenue,budget,return,release_year
51,mighty aphrodite,6700000.0,15000000.0,0.4466666666666666,1995
52,lamerica,0.0,0.0,0.0,1994
53,the big green,0.0,0.0,0.0,1995
54,georgia,0.0,0.0,0.0,1995
55,kids of the round table,0.0,0.0,0.0,1997
56,home for the holidays,17519169.0,0.0,0.0,1995
57,the postman,0.0,0.0,0.0,1994
58,the confessional,0.0,0.0,0.0,1995
59,the indian in the cupboard,0.0,45000000.0,0.0,1995
60,eye for an eye,0.0,20000000.0,0.0,1996
61,mr. holland's opus,106269971.0,0.0,0.0,1995
62,don't be a menace to south central while drinking your juice in the hood,0.0,0.0,0.0,1996
63,two if by sea,0.0,0.0,0.0,1996
64,bio-dome,0.0,15000000.0,0.0,1996
65,lawnmower man 2: beyond cyberspace,2409225.0,0.0,0.0,1996
66,two bits,0.0,0.0,0.0,1995
67,french twist,0.0,0.0,0.0,1995
68,friday,28215918.0,3500000.0,8.061690857142857,1995
69,from dusk till dawn,25836616.0,19000000.0,1.359821894736842,1996
70,fair game,11534477.0,50000000.0,0.23068954,1995
71,kicking and screaming,718490.0,0.0,0.0,1995
72,les miserables,0.0,0.0,0.0,1995
73,bed of roses,19030691.0,0.0,0.0,1996
74,big bully,2042530.0,15000000.0,0.1361686666666666,1996
75,screamers,5781885.0,20000000.0,0.28909425,1995
76,nico icon,0.0,0.0,0.0,1995
77,the crossing guard,0.0,0.0,0.0,1995
78,the juror,0.0,44000000.0,0.0,1996
79,the white balloon,0.0,0.0,0.0,1995
80,things to do in denver when you're dead,529766.0,8000000.0,0.06622075,1995
81,antonia's line,0.0,900000.0,0.0,1995
82,once upon a time... when we were colored,0.0,0.0,0.0,1996
83,last summer in the hamptons,0.0,0.0,0.0,1995
84,angels and insects,0.0,0.0,0.0,1995
85,white squall,10300000.0,38000000.0,0.2710526315789474,1996
86,dunston checks in,0.0,16000000.0,0.0,1996
87,black sheep,32.0,0.0,0.0,1996
88,nick of time,8175346.0,8169363.0,1.000732370443081,1995
89,the journey of august king,0.0,0.0,0.0,1995
90,mary reilly,12379402.0,47000000.0,0.2633915319148936,1996
91,vampire in brooklyn,19800000.0,14000000.0,1.4142857142857144,1995
92,beautiful girls,0.0,0.0,0.0,1996
93,broken arrow,150270147.0,50000000.0,3.00540294,1996
94,a midwinter's tale,0.0,0.0,0.0,1995
95,la haine,0.0,3000000.0,0.0,1995
96,shopping,0.0,0.0,0.0,1994
97,heidi fleiss: hollywood madam,0.0,0.0,0.0,1995
98,city hall,0.0,0.0,0.0,1996
99,bottle rocket,560069.0,7000000.0,0.0800098571428571,1996
100,mr. wrong,0.0,0.0,0.0,1996
101,unforgettable,0.0,18000000.0,0.0,1996
102,happy gilmore,41205099.0,12000000.0,3.43375825,1996
103,the bridges of madison county,182016617.0,24000000.0,7.584025708333333,1995
104,nobody loves me,0.0,0.0,0.0,1994
105,muppet treasure island,34327391.0,0.0,0.0,1996
106,catwalk,0.0,0.0,0.0,1995
107,headless body in topless bar,0.0,0.0,0.0,1995
108,braveheart,210000000.0,72000000.0,2.9166666666666665,1995
109,taxi driver,28262574.0,1300000.0,21.74044153846154,1976
110,rumble in the bronx,32392047.0,7500000.0,4.3189396,1995
111,before and after,0.0,35000000.0,0.0,1996
112,margaret's museum,0.0,0.0,0.0,1995
113,happiness is in the field,0.0,13365000.0,0.0,1995
114,anne frank remembered,1.0,0.0,0.0,1995
115,the young poisoner's handbook,0.0,0.0,0.0,1995
116,if lucy fell,0.0,0.0,0.0,1996
117,steal big steal little,6278139.0,25000000.0,0.25112556,1995
118,race the sun,0.0,0.0,0.0,1996
119,the boys of st. vincent,0.0,0.0,0.0,1992
120,boomerang,70100000.0,40000000.0,1.7525,1992
121,chungking express,0.0,0.0,0.0,1994
122,the star maker,0.0,0.0,0.0,1995
123,flirting with disaster,14702438.0,7000000.0,2.100348285714286,1996
124,the neverending story iii: escape from fantasia,0.0,17000000.0,0.0,1994
125,the silences of the palace,0.0,0.0,0.0,1994
126,jupiter's wife,0.0,0.0,0.0,1995
127,pie in the sky,0.0,0.0,0.0,1996
128,angela,0.0,0.0,0.0,1995
129,frankie starlight,0.0,0.0,0.0,1995
130,jade,9851610.0,50000000.0,0.1970322,1995
131,nueba yol,0.0,0.0,0.0,1995
132,sonic outlaws,0.0,0.0,0.0,1995
133,down periscope,0.0,0.0,0.0,1996
134,from the journals of jean seberg,0.0,0.0,0.0,1995
135,man of the year,209935.0,0.0,0.0,1995
136,the neon bible,0.0,0.0,0.0,1995
137,target,0.0,0.0,0.0,1995
138,up close & personal,0.0,60000000.0,0.0,1996
139,the birdcage,185260553.0,31000000.0,5.976146870967742,1996
140,virgin mary,0.0,0.0,0.0,1995
141,the brothers mcmullen,0.0,0.0,0.0,1995
142,bad boys,141407024.0,19000000.0,7.442474947368421,1995
143,the amazing panda adventure,0.0,0.0,0.0,1995
144,the basketball diaries,0.0,0.0,0.0,1995
145,an awfully big adventure,851545.0,4000000.0,0.21288625,1995
146,amateur,0.0,0.0,0.0,1994
147,apollo 13,355237933.0,52000000.0,6.831498711538462,1995
148,rob roy,31596911.0,28000000.0,1.1284611071428572,1995
149,the addiction,0.0,0.0,0.0,1995
150,batman forever,336529144.0,100000000.0,3.36529144,1995
151,belle de jour,0.0,0.0,0.0,1967
152,beyond rangoon,0.0,0.0,0.0,1995
153,blue in the face,1275000.0,2000000.0,0.6375,1995
154,canadian bacon,178104.0,11000000.0,0.0161912727272727,1995
155,casper,287928194.0,50000000.0,5.75856388,1995
156,clockers,13071518.0,25000000.0,0.52286072,1995
157,congo,152022101.0,50000000.0,3.04044202,1995
158,crimson tide,157387195.0,53000000.0,2.969569716981132,1995
159,crumb,3174695.0,0.0,0.0,1994
160,desperado,25405445.0,7000000.0,3.6293492857142855,1995
161,devil in a blue dress,16140822.0,27000000.0,0.5978082222222222,1995
162,die hard: with a vengeance,366101666.0,90000000.0,4.067796288888889,1995
163,the doom generation,0.0,0.0,0.0,1995
164,feast of july,0.0,0.0,0.0,1995
165,first knight,127600435.0,55000000.0,2.320007909090909,1995
166,free willy 2 - the adventure home,0.0,0.0,0.0,1995
167,hackers,7563728.0,20000000.0,0.3781864,1995
168,jeffrey,0.0,0.0,0.0,1995
169,johnny mnemonic,19075720.0,25000000.0,0.7630288,1995
170,judge dredd,113493481.0,90000000.0,1.2610386777777778,1995
171,jury duty,17014653.0,0.0,0.0,1995
172,kids,7412216.0,1500000.0,4.941477333333333,1995
173,living in oblivion,1148752.0,500000.0,2.297504,1995
174,lord of illusions,0.0,0.0,0.0,1995
175,love & human remains,0.0,0.0,0.0,1993
176,mad love,15453274.0,0.0,0.0,1995
177,mallrats,2122561.0,6000000.0,0.3537601666666666,1995
178,mighty morphin power rangers: the movie,66000000.0,15000000.0,4.4,1995
179,moonlight and valentino,0.0,0.0,0.0,1995
180,mute witness,1.0,2.0,0.5,1995
181,nadja,0.0,0.0,0.0,1994
182,the net,110627965.0,22000000.0,5.028543863636363,1995
183,nine months,69660733.0,0.0,0.0,1995
184,party girl,472370.0,150000.0,3.1491333333333333,1995
185,the prophecy,16.0,8.0,2.0,1995
186,reckless,0.0,0.0,0.0,1995
187,safe,0.0,0.0,0.0,1995
188,the scarlet letter,10382407.0,50000000.0,0.20764814,1995
189,the show,0.0,0.0,0.0,1995
190,showgirls,20350754.0,45000000.0,0.4522389777777778,1995
191,smoke,8349430.0,7000000.0,1.1927757142857145,1995
192,something to talk about,50892160.0,0.0,0.0,1995
193,species,113374103.0,35000000.0,3.2392600857142857,1995
194,the stars fell on henrietta,0.0,0.0,0.0,1995
195,strange days,7959291.0,42000000.0,0.1895069285714285,1995
196,the umbrellas of cherbourg,0.0,0.0,0.0,1964
197,the tie that binds,5780000.0,14000000.0,0.4128571428571428,1995
198,three wishes,7025496.0,0.0,0.0,1995
199,total eclipse,339889.0,0.0,0.0,1995
200,"to wong foo, thanks for everything! julie newmar",47774193.0,0.0,0.0,1995
201,under siege 2: dark territory,104324083.0,60000000.0,1.738734716666667,1995
202,unstrung heroes,0.0,0.0,0.0,1995
203,unzipped,0.0,0.0,0.0,1995
204,a walk in the clouds,50012507.0,20000000.0,2.50062535,1995
205,waterworld,264218220.0,175000000.0,1.5098184,1995
206,white man's burden,0.0,8000000.0,0.0,1995
207,wild bill,0.0,30000000.0,0.0,1995
208,the browning version,0.0,0.0,0.0,1994
209,bushwhacked,0.0,0.0,0.0,1995
210,burnt by the sun,2616503.0,2800000.0,0.9344653571428572,1994
211,before the rain,763847.0,0.0,0.0,1994
212,before sunrise,5535405.0,2500000.0,2.214162,1995
213,billy madison,26488734.0,10000000.0,2.6488734,1995
214,the babysitter,0.0,0.0,0.0,1995
215,boys on the side,23450000.0,21000000.0,1.1166666666666667,1995
216,the cure,0.0,0.0,0.0,1995
217,castle freak,0.0,0.0,0.0,1995
218,circle of friends,0.0,0.0,0.0,1995
219,clerks,3151130.0,27000.0,116.70851851851852,1994
220,don juan demarco,22200000.0,25000000.0,0.888,1994
221,disclosure,214015089.0,55000000.0,3.891183436363636,1994
222,dream man,0.0,0.0,0.0,1995
223,drop zone,0.0,45000000.0,0.0,1994
224,destiny turns on the radio,0.0,0.0,0.0,1995
225,death and the maiden,0.0,0.0,0.0,1994
226,dolores claiborne,0.0,0.0,0.0,1995
227,dumb and dumber,247275374.0,16000000.0,15.454710875,1994
228,eat drink man woman,7294403.0,0.0,0.0,1994
229,exotica,0.0,0.0,0.0,1994
230,exit to eden,6841570.0,0.0,0.0,1994
231,ed wood,5887457.0,18000000.0,0.3270809444444444,1994
232,french kiss,0.0,0.0,0.0,1995
233,forget paris,0.0,0.0,0.0,1995
234,far from home: the adventures of yellow dog,0.0,0.0,0.0,1995
235,a goofy movie,35348597.0,0.0,0.0,1995
236,hideaway,12201255.0,15000000.0,0.813417,1995
237,fluke,0.0,0.0,0.0,1995
238,farinelli,0.0,0.0,0.0,1994
239,gordy,3992809.0,0.0,0.0,1995
240,gumby: the movie,0.0,0.0,0.0,1995
241,the glass shield,0.0,0.0,0.0,1994
242,hoop dreams,7830611.0,700000.0,11.186587142857142,1994
243,heavenly creatures,3049135.0,5000000.0,0.609827,1994
244,houseguest,26325256.0,10500000.0,2.507167238095238,1995
245,immortal beloved,0.0,120.0,0.0,1994
246,heavyweights,17689177.0,0.0,0.0,1995
247,the hunted,0.0,0.0,0.0,1995
248,i.q.,0.0,25000000.0,0.0,1994
249,interview with the vampire,223664608.0,60000000.0,3.7277434666666656,1994
250,jefferson in paris,2474000.0,14000000.0,0.1767142857142857,1995
251,the jerky boys,0.0,0.0,0.0,1995
252,junior,37000000.0,60000000.0,0.6166666666666667,1994
253,just cause,0.0,0.0,0.0,1995
254,a kid in king arthur's court,0.0,0.0,0.0,1995
255,kiss of death,0.0,40000000.0,0.0,1995
256,star wars,775398007.0,11000000.0,70.49072790909091,1977
257,little women,0.0,18000000.0,0.0,1994
258,a little princess,0.0,17000000.0,0.0,1995
259,ladybird ladybird,0.0,0.0,0.0,1994
260,l'enfer,0.0,10000000.0,0.0,1994
261,like water for chocolate,21665468.0,2000000.0,10.832734,1992
262,legends of the fall,160638883.0,30000000.0,5.354629433333334,1994
263,major payne,0.0,0.0,0.0,1995
264,little odessa,0.0,0.0,0.0,1994
265,mi vida loca,0.0,0.0,0.0,1994
266,love affair,0.0,60000000.0,0.0,1994
267,losing isaiah,7603766.0,17000000.0,0.4472803529411764,1995
268,the madness of king george,0.0,0.0,0.0,1994
269,mary shelley's frankenstein,112006296.0,45000000.0,2.4890288,1994
270,man of the house,0.0,0.0,0.0,1995
271,mixed nuts,0.0,15000000.0,0.0,1994
272,milk money,18137661.0,0.0,0.0,1994
273,miracle on 34th street,46264384.0,0.0,0.0,1994
274,miami rhapsody,5.0,6.0,0.8333333333333334,1995
275,my family,0.0,5500000.0,0.0,1995
276,murder in the first,17381942.0,0.0,0.0,1995
277,nobody's fool,0.0,0.0,0.0,1994
278,nell,106683817.0,31000000.0,3.441413451612904,1994
279,new jersey drive,0.0,0.0,0.0,1995
280,new york cop,0.0,0.0,0.0,1993
281,beyond bedlam,0.0,4800000.0,0.0,1994
282,nemesis 2 - nebula,0.0,0.0,0.0,1995
283,nina takes a lover,0.0,0.0,0.0,1995
284,natural born killers,50282766.0,34000000.0,1.4789048823529412,1994
285,only you,0.0,0.0,0.0,1994
286,once were warriors,2201126.0,0.0,0.0,1994
287,poison ivy ii: lily,0.0,0.0,0.0,1996
288,outbreak,189859560.0,50000000.0,3.7971912,1995
289,leon: the professional,45284974.0,16000000.0,2.830310875,1994
290,the perez family,2832826.0,11000000.0,0.2575296363636363,1995
291,a pyromaniac's love story,0.0,0.0,0.0,1995
292,pulp fiction,213928762.0,8000000.0,26.74109525,1994
293,panther,6834525.0,0.0,0.0,1995
294,pushing hands,152322.0,400000.0,0.380805,1992
295,priest,4176932.0,0.0,0.0,1994
296,quiz show,0.0,0.0,0.0,1994
297,picture bride,0.0,0.0,0.0,1995
298,queen margot,0.0,0.0,0.0,1994
299,the quick and the dead,18552460.0,32000000.0,0.579764375,1995
300,roommates,12400000.0,22000000.0,0.5636363636363636,1995
301,prãªt-ã -porter,11300653.0,15000000.0,0.7533768666666667,1994
302,three colors: red,0.0,0.0,0.0,1994
303,three colors: blue,0.0,0.0,0.0,1993
304,three colors: white,0.0,0.0,0.0,1994
305,"red firecracker, green firecracker",0.0,0.0,0.0,1994
306,rent-a-kid,0.0,0.0,0.0,1995
307,relative fear,0.0,0.0,0.0,1995
308,stuart saves his family,0.0,0.0,0.0,1995
309,the swan princess,9771658.0,35000000.0,0.2791902285714285,1994
310,the secret of roan inish,0.0,0.0,0.0,1994
311,the specialist,170362582.0,45000000.0,3.785835155555556,1994
312,stargate,196567262.0,55000000.0,3.5739502181818184,1994
313,the santa clause,189833357.0,22000000.0,8.628788954545454,1994
314,the shawshank redemption,28341469.0,25000000.0,1.13365876,1994
315,shallow grave,0.0,0.0,0.0,1994
316,suture,102780.0,0.0,0.0,1993
317,strawberry and chocolate,0.0,0.0,0.0,1993
318,swimming with sharks,0.0,0.0,0.0,1994
319,the sum of us,0.0,32.0,0.0,1994
320,senior trip,0.0,0.0,0.0,1995
321,to live,0.0,0.0,0.0,1994
322,tank girl,4064495.0,25000000.0,0.1625798,1995
323,tales from the crypt: demon knight,0.0,0.0,0.0,1995
324,star trek: generations,120000000.0,38000000.0,3.1578947368421053,1994
325,tales from the hood,12000000.0,6000000.0,2.0,1995
326,tom & viv,0.0,0.0,0.0,1994
327,village of the damned,0.0,0.0,0.0,1995
328,tommy boy,32648673.0,0.0,0.0,1995
329,vanya on 42nd street,0.0,0.0,0.0,1994
330,the underneath,0.0,6500000.0,0.0,1995
331,the walking dead,0.0,0.0,0.0,1995
332,what's eating gilbert grape,10032765.0,11000000.0,0.9120695454545454,1993
333,virtuosity,24048000.0,30000000.0,0.8016,1995
334,while you were sleeping,182057016.0,17000000.0,10.709236235294116,1995
335,the war,0.0,0.0,0.0,1994
336,double happiness,759393.0,0.0,0.0,1994
337,muriel's wedding,15119639.0,3000000.0,5.039879666666667,1994
338,the baby-sitters club,0.0,0.0,0.0,1995
339,ace ventura: pet detective,107217396.0,15000000.0,7.1478264,1994
340,"the adventures of priscilla, queen of the desert",11220670.0,0.0,0.0,1994
341,backbeat,0.0,0.0,0.0,1994
342,bitter moon,1862805.0,5000000.0,0.372561,1992
343,bullets over broadway,0.0,0.0,0.0,1994
344,clear and present danger,215887717.0,62000000.0,3.482059951612903,1994
345,the client,117615211.0,45000000.0,2.613671355555556,1994
346,"corrina, corrina",0.0,0.0,0.0,1994
347,crooklyn,0.0,0.0,0.0,1994
348,the crow,94000000.0,15000000.0,6.266666666666667,1994
349,cobb,1007583.0,0.0,0.0,1994
350,the flintstones,341631208.0,46000000.0,7.426765391304348,1994
351,forrest gump,677945399.0,55000000.0,12.326279981818182,1994
352,four weddings and a funeral,254700832.0,6000000.0,42.45013866666667,1994
353,higher learning,38290723.0,0.0,0.0,1995
354,i like it like that,1777020.0,0.0,0.0,1994
355,i love trouble,61947267.0,45000000.0,1.3766059333333334,1994
356,it could happen to you,0.0,0.0,0.0,1994
357,the jungle book,0.0,0.0,0.0,1994
358,"the wonderful, horrible life of leni riefenstahl",449707.0,0.0,0.0,1993
359,the lion king,788241776.0,45000000.0,17.516483911111113,1994
360,little buddha,4858139.0,35000000.0,0.1388039714285714,1993
361,new nightmare,18090181.0,14000000.0,1.2921557857142858,1994
362,the mask,351583407.0,23000000.0,15.286235086956522,1994
363,maverick,0.0,0.0,0.0,1994
364,mrs. parker and the vicious circle,0.0,0.0,0.0,1994
365,the naked gun 33â…“: the final insult,51132598.0,30000000.0,1.7044199333333334,1994
366,the paper,0.0,6000000.0,0.0,1994
367,reality bites,20079850.0,11500000.0,1.7460739130434784,1994
368,red rock west,2000000.0,8000000.0,0.25,1993
369,riâ¢hie riâ¢h,0.0,40000000.0,0.0,1994
370,safe passage,0.0,0.0,0.0,1994
371,the river wild,0.0,45000000.0,0.0,1994
372,speed,350448145.0,30000000.0,11.681604833333331,1994
373,speechless,0.0,0.0,0.0,1994
374,timecop,101646581.0,27000000.0,3.764688185185185,1994
375,true lies,378882411.0,115000000.0,3.2946296608695653,1994
376,when a man loves a woman,50021959.0,0.0,0.0,1994
377,wolf,0.0,0.0,0.0,1994
378,wyatt earp,25052000.0,63000000.0,0.3976507936507936,1994
379,bad company,0.0,0.0,0.0,1995
380,a man of no importance,953.0,0.0,0.0,1994
381,s.f.w.,0.0,0.0,0.0,1994
382,a low down dirty shame,29392418.0,10000000.0,2.9392418,1994
383,"boys life: three stories of love, lust, and liberation",0.0,0.0,0.0,1994
384,colonel chabert,0.0,0.0,0.0,1994
385,"faster, pussycat! kill! kill!",0.0,45000.0,0.0,1965
386,jason's lyric,20851521.0,7000000.0,2.9787887142857143,1994
387,the secret adventures of tom thumb,0.0,0.0,0.0,1993
388,street fighter,99423521.0,35000000.0,2.8406720285714284,1994
389,coldblooded,0.0,0.0,0.0,1995
390,desert winds,0.0,0.0,0.0,1997
391,fall time,0.0,0.0,0.0,1995
392,the fear,0.0,0.0,0.0,1995
393,frank and ollie,0.0,0.0,0.0,1995
394,girl in the cadillac,0.0,0.0,0.0,1995
395,homage,0.0,0.0,0.0,1995
396,mirage,0.0,0.0,0.0,1995
397,open season,0.0,0.0,0.0,1996
398,dos crã­menes,0.0,0.0,0.0,1995
399,brother minister: the assassination of malcolm x,0.0,0.0,0.0,1995
400,highlander: the final dimension,36800000.0,26000000.0,1.4153846153846157,1994
401,federal hill,0.0,0.0,0.0,1995
402,in the mouth of madness,8946600.0,8000000.0,1.118325,1994
403,8 seconds,0.0,0.0,0.0,1994
404,above the rim,0.0,0.0,0.0,1994
405,addams family values,48919043.0,0.0,0.0,1993
406,martin lawrence: you so crazy,0.0,0.0,0.0,1994
407,the age of innocence,32255440.0,34000000.0,0.948689411764706,1993
408,airheads,0.0,0.0,0.0,1994
409,the air up there,21011500.0,17080000.0,1.2301814988290398,1994
410,another stakeout,0.0,0.0,0.0,1993
411,bad girls,15240435.0,0.0,0.0,1994
412,barcelona,0.0,3200000.0,0.0,1994
413,being human,0.0,40000000.0,0.0,1994
414,the beverly hillbillies,0.0,0.0,0.0,1993
415,beverly hills cop iii,119208989.0,50000000.0,2.38417978,1994
416,black beauty,0.0,0.0,0.0,1994
417,blink,16668552.0,0.0,0.0,1994
418,blown away,30156002.0,0.0,0.0,1994
419,blue chips,0.0,0.0,0.0,1994
420,blue sky,0.0,0.0,0.0,1994
421,body snatchers,428868.0,13000000.0,0.0329898461538461,1993
422,boxing helena,1796389.0,0.0,0.0,1993
423,a bronx tale,17287898.0,22000000.0,0.7858135454545454,1993
424,cabin boy,3662459.0,0.0,0.0,1994
425,calendar girl,2570145.0,13000000.0,0.1977034615384615,1993
426,carlito's way,36516012.0,30000000.0,1.2172004,1993
427,city slickers ii: the legend of curly's gold,0.0,0.0,0.0,1994
428,clean slate,7355425.0,0.0,0.0,1994
429,cliffhanger,255000211.0,70000000.0,3.642860157142857,1993
430,coneheads,0.0,0.0,0.0,1993
431,color of night,19726050.0,40000000.0,0.49315125,1994
432,cops & robbersons,0.0,0.0,0.0,1994
433,the cowboy way,0.0,0.0,0.0,1994
434,dangerous game,0.0,0.0,0.0,1993
435,dave,63000000.0,0.0,0.0,1993
436,dazed and confused,7993039.0,6900000.0,1.1584114492753623,1993
437,demolition man,159055768.0,57000000.0,2.7904520701754385,1993
438,the endless summer 2,0.0,0.0,0.0,1994
439,even cowgirls get the blues,0.0,8000000.0,0.0,1994
440,fatal instinct,0.0,0.0,0.0,1993
441,farewell my concubine,0.0,0.0,0.0,1993
442,the favor,0.0,0.0,0.0,1994
443,fearless,0.0,0.0,0.0,1993
444,fear of a black hat,0.0,0.0,0.0,1994
445,with honors,0.0,0.0,0.0,1994
446,flesh and bone,9488998.0,0.0,0.0,1993
447,widows' peak,0.0,0.0,0.0,1994
448,for love or money,11146270.0,30000000.0,0.3715423333333333,1993
449,the firm,270248367.0,42000000.0,6.434484928571429,1993
450,free willy,153698625.0,20000000.0,7.68493125,1993
451,fresh,0.0,0.0,0.0,1994
452,the fugitive,368875760.0,44000000.0,8.38354,1993
453,geronimo: an american legend,18635620.0,35000000.0,0.5324462857142858,1993
454,the getaway,30.0,0.0,0.0,1994
455,getting even with dad,0.0,30000000.0,0.0,1994
456,go fish,0.0,0.0,0.0,1994
457,a good man in africa,0.0,0.0,0.0,1994
458,guilty as sin,22886222.0,0.0,0.0,1993
459,hard target,74189677.0,18000000.0,4.121648722222222,1993
460,heaven & earth,0.0,33000000.0,0.0,1993
461,hot shots! part deux,133752825.0,25000000.0,5.350113,1993
462,live nude girls,0.0,0.0,0.0,1995
463,the englishman who went up a hill but came down a mountain,0.0,0.0,0.0,1995
464,the house of the spirits,0.0,25000000.0,0.0,1993
465,house party 3,0.0,0.0,0.0,1994
466,the hudsucker proxy,0.0,30000000.0,0.0,1994
467,i'll do anything,0.0,40000000.0,0.0,1994
468,in the army now,28881266.0,0.0,0.0,1994
469,in the line of fire,176997168.0,40000000.0,4.4249292,1993
470,in the name of the father,65796862.0,13000000.0,5.0612970769230765,1993
471,the inkwell,8880705.0,0.0,0.0,1994
472,what's love got to do with it,0.0,0.0,0.0,1993
473,jimmy hollywood,0.0,30000000.0,0.0,1994
474,judgment night,12136938.0,0.0,0.0,1993
475,jurassic park,920100000.0,63000000.0,14.604761904761904,1993
476,kalifornia,2395231.0,9000000.0,0.2661367777777778,1993
477,killing zoe,418961.0,1500000.0,0.2793073333333333,1993
478,king of the hill,0.0,0.0,0.0,1993
479,lassie,0.0,0.0,0.0,1994
480,last action hero,137298489.0,85000000.0,1.6152763411764706,1993
481,life with mikey,0.0,0.0,0.0,1993
482,lightning jack,0.0,0.0,0.0,1994
483,m. butterfly,1499795.0,0.0,0.0,1993
484,made in america,0.0,22000000.0,0.0,1993
485,malice,46405336.0,0.0,0.0,1993
486,the man without a face,24760338.0,0.0,0.0,1993
487,manhattan murder mystery,11285588.0,13500000.0,0.8359694814814815,1993
488,menace ii society,27900000.0,3500000.0,7.9714285714285715,1993
489,executive decision,121969216.0,55000000.0,2.217622109090909,1996
490,in the realm of the senses,0.0,0.0,0.0,1976
491,what happened was...,0.0,0.0,0.0,1994
492,much ado about nothing,0.0,8000000.0,0.0,1993
493,mr. jones,0.0,0.0,0.0,1993
494,mr. wonderful,0.0,0.0,0.0,1993
495,mrs. doubtfire,441286195.0,25000000.0,17.6514478,1993
496,naked,0.0,0.0,0.0,1993
497,the next karate kid,15826984.0,12000000.0,1.3189153333333334,1994
498,the new age,0.0,0.0,0.0,1994
499,no escape,15340000.0,20000000.0,0.767,1994
500,north,0.0,40000000.0,0.0,1994
501,orlando,0.0,4000000.0,0.0,1992
502,a perfect world,135130999.0,30000000.0,4.504366633333333,1993
503,philadelphia,206678440.0,26000000.0,7.949170769230769,1993
504,the piano,116700000.0,7000000.0,16.67142857142857,1993
505,poetic justice,27515786.0,14000000.0,1.9654132857142856,1993
506,the program,23042200.0,0.0,0.0,1993
507,the puppet masters,8638072.0,0.0,0.0,1994
508,radioland murders,0.0,0.0,0.0,1994
509,the ref,11439193.0,11000000.0,1.0399266363636364,1994
510,the remains of the day,23237911.0,11500000.0,2.0206879130434783,1993
511,renaissance man,24332324.0,40000000.0,0.6083081,1994
512,rising sun,107198790.0,0.0,0.0,1993
513,the road to wellville,0.0,0.0,0.0,1994
514,robocop 3,10696210.0,22000000.0,0.4861913636363636,1993
515,robin hood: men in tights,35739755.0,20000000.0,1.78698775,1993
516,romeo is bleeding,3275585.0,11500000.0,0.2848334782608696,1993
517,romper stomper,0.0,0.0,0.0,1992
518,ruby in paradise,1001437.0,800000.0,1.25179625,1993
519,rudy,22750363.0,12000000.0,1.8958635833333333,1993
520,the saint of fort washington,0.0,0.0,0.0,1993
521,savage nights,0.0,0.0,0.0,1992
522,schindler's list,321365567.0,22000000.0,14.607525772727271,1993
