,title,production_companies,revenue
57,The Postman,,0.0
58,The Confessional,,0.0
59,The Indian in the Cupboard,"['paramount pictures', 'columbia pictures corporation', 'the kennedy/marshall company']",0.0
60,Eye for an Eye,['paramount pictures'],0.0
61,Mr. Holland's Opus,"['hollywood pictures', 'the charlie mopic company', 'polygram filmed entertainment', 'interscope communications']",106269971.0
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['miramax films', 'island pictures', 'ivory way productions']",0.0
63,Two If by Sea,"['warner bros.', 'morgan creek productions']",0.0
64,Bio-Dome,"['metro-goldwyn-mayer (mgm)', 'motion picture corporation of america (mpca)', '3 arts entertainment', 'weasel productions']",0.0
65,Lawnmower Man 2: Beyond Cyberspace,['new line cinema'],2409225.0
66,Two Bits,['miramax films'],0.0
67,French Twist,"['renn productions', 'les films flam', 'tf1 films production', 'canal+']",0.0
68,Friday,['new line cinema'],28215918.0
69,From Dusk Till Dawn,"['a band apart', 'dimension films', 'los hooligans productions', 'miramax']",25836616.0
70,Fair Game,"['silver pictures', 'warner bros.']",11534477.0
71,Kicking and Screaming,"['castleberg productions', 'sandollar productions']",718490.0
72,Les Miserables,"['les films 13', 'canal+', 'tf1']",0.0
73,Bed of Roses,"['new line cinema', 'juno pix']",19030691.0
74,Big Bully,"['warner bros.', 'morgan creek productions']",2042530.0
75,Screamers,"['the movie network (tmn)', 'allegro films', 'fuji eight company ltd.', 'fries film group', 'super ecran', 'triumph films']",5781885.0
76,Nico Icon,"['zweites deutsches fernsehen (zdf)', 'ciak filmproduktion', 'bluehorse films']",0.0
77,The Crossing Guard,['miramax films'],0.0
78,The Juror,['columbia pictures corporation'],0.0
79,The White Balloon,"['i.r.i.b. channel 2', 'ferdos films']",0.0
80,Things to Do in Denver When You're Dead,['miramax films'],529766.0
81,Antonia's Line,"['bergen film', 'bard entertainments', 'nps televisie']",0.0
82,Once Upon a Time... When We Were Colored,"['bet pictures', 'united image entertainme']",0.0
83,Last Summer in the Hamptons,,0.0
84,Angels and Insects,"['playhouse international pictures', 'the samuel goldwyn company']",0.0
85,White Squall,"['hollywood pictures', 'largo entertainment', 'scott free productions']",10300000.0
86,Dunston Checks In,"['twentieth century fox film corporation', 'joe wizan/todd black']",0.0
87,Black Sheep,['paramount pictures'],32.0
88,Nick of Time,['paramount pictures'],8175346.0
89,The Journey of August King,"['miramax films', 'addis wechsler pictures']",0.0
90,Mary Reilly,"['tristar pictures', 'nfh productions']",12379402.0
91,Vampire in Brooklyn,['paramount pictures'],19800000.0
92,Beautiful Girls,"['miramax films', 'woods entertainment']",0.0
93,Broken Arrow,"['twentieth century fox film corporation', 'wcg entertainment productions', 'mark gordon productions']",150270147.0
94,A Midwinter's Tale,"['castle rock entertainment', 'midwinter films']",0.0
95,La Haine,"['egg pictures', 'polygram filmed entertainment', 'canal+', 'les productions lazennec', 'la sept cinã©ma', 'kasso inc. productions', 'studio image', 'cofinergie 6']",0.0
96,Shopping,['channel four films'],0.0
97,Heidi Fleiss: Hollywood Madam,"['british broadcasting corporation (bbc)', 'westdeutscher rundfunk (wdr)', 'canadian broadcasting corporation (cbc)', 'cinemax reel life', 'inpictures', 'lafayette films']",0.0
98,City Hall,"['columbia pictures', 'castle rock entertainment']",0.0
99,Bottle Rocket,"['gracie films', 'columbia pictures corporation']",560069.0
100,Mr. Wrong,['touchstone pictures'],0.0
101,Unforgettable,"['metro-goldwyn-mayer (mgm)', 'dino de laurentiis company', 'spelling films']",0.0
102,Happy Gilmore,"['universal pictures', 'brillstein-grey entertainment', 'robert simonds productions']",41205099.0
103,The Bridges of Madison County,"['amblin entertainment', 'malpaso productions', 'warner bros.']",182016617.0
104,Nobody Loves Me,,0.0
105,Muppet Treasure Island,"['walt disney pictures', 'jim henson productions', 'jim henson company, the']",34327391.0
106,Catwalk,,0.0
107,Headless Body in Topless Bar,,0.0
108,Braveheart,"['icon entertainment international', 'the ladd company', 'b.h. finance c.v.']",210000000.0
109,Taxi Driver,"['columbia pictures corporation', 'italo/judeo productions', 'bill/phillips']",28262574.0
110,Rumble in the Bronx,"['new line cinema', 'golden harvest company']",32392047.0
111,Before and After,"['caravan pictures', 'hollywood pictures']",0.0
112,Margaret's Museum,"['tã©lã©film canada', 'skyline films', 'malofilm', 'sociã©tã© de dã©veloppement des entreprises culturelles (sodec)', 'british screen productions', 'national film board of canada (nfb)', 'imx communications', 'glace bay pictures', 'cinã© tã©lã© action', 'nova scotia film development corporation', 'ranfilm']",0.0
113,Happiness Is in the Field,"['france 2 cinã©ma', 'france 3 cinã©ma', 'studiocanal', 'les productions du champ poirier', 'tã©lã©ma productions']",0.0
114,Anne Frank Remembered,,1.0
115,The Young Poisoner's Handbook,['bavaria film and television fund'],0.0
116,If Lucy Fell,"['tristar pictures', 'motion picture corporation of america (mpca)']",0.0
117,Steal Big Steal Little,['savoy pictures'],6278139.0
118,Race the Sun,['tristar pictures'],0.0
119,The Boys of St. Vincent,,0.0
120,Boomerang,['paramount pictures'],70100000.0
121,Chungking Express,"['jet tone production', 'the criterion collection']",0.0
122,The Star Maker,['cecchi gori group tiger cinematografica'],0.0
123,Flirting with Disaster,['miramax films'],14702438.0
124,The Neverending Story III: Escape from Fantasia,"['studio babelsberg', 'dieter geissler filmproduktion', 'cinevox filmproduktion gmbh', 'warner bros.', 'miramax']",0.0
125,The Silences of the Palace,"['canal horizons', 'mat films', 'cinã©tã©lã©films']",0.0
126,Jupiter's Wife,,0.0
127,Pie in the Sky,,0.0
128,Angela,,0.0
129,Frankie Starlight,"['fine line features', 'channel four films', 'bã³rd scannã¡n na hã‰ireann', 'canal+']",0.0
130,Jade,['paramount pictures'],9851610.0
131,Nueba Yol,"['cigua films', ""d'pelicula""]",0.0
132,Sonic Outlaws,,0.0
133,Down Periscope,['twentieth century fox film corporation'],0.0
134,From the Journals of Jean Seberg,['couch potatoe productions'],0.0
135,Man of the Year,,209935.0
136,The Neon Bible,"['channel four films', 'academy', 'mayfair films', 'iberoamerica films']",0.0
137,Target,,0.0
138,Up Close & Personal,"['cinergi pictures entertainment', 'touchstone pictures']",0.0
139,The Birdcage,['united artists'],185260553.0
140,Virgin Mary,,0.0
141,The Brothers McMullen,['fox searchlight pictures'],0.0
142,Bad Boys,"['columbia pictures', 'don simpson/jerry bruckheimer films']",141407024.0
143,The Amazing Panda Adventure,['warner bros.'],0.0
144,The Basketball Diaries,"['new line cinema', 'island pictures']",0.0
145,An Awfully Big Adventure,"['fine line features', 'bbc', 'british screen productions', 'portman productions']",851545.0
146,Amateur,"['channel four films', 'zenith entertainment', 'american playhouse', 'union gã©nã©rale cinã©matographique (ugc)', 'la sept cinã©ma', 'true fiction pictures']",0.0
147,Apollo 13,"['imagine entertainment', 'universal pictures']",355237933.0
148,Rob Roy,"['united artists', 'talisman productions']",31596911.0
149,The Addiction,"['october films', 'guild', 'fastnet films']",0.0
150,Batman Forever,"['warner bros.', 'polygram filmed entertainment']",336529144.0
151,Belle de Jour,"['paris films productions', 'five films', 'robert et raymond hakim']",0.0
152,Beyond Rangoon,"['columbia pictures', 'castle rock entertainment']",0.0
153,Blue in the Face,"['miramax films', 'interal']",1275000.0
154,Canadian Bacon,['polygram filmed entertainment'],178104.0
155,Casper,"['universal pictures', 'amblin entertainment', 'the harvey entertainment company']",287928194.0
156,Clockers,"['universal pictures', '40 acres & a mule filmworks']",13071518.0
157,Congo,"['paramount pictures', 'kennedy/marshall company, the']",152022101.0
158,Crimson Tide,"['hollywood pictures', 'don simpson/jerry bruckheimer films']",157387195.0
159,Crumb,['superior pictures'],3174695.0
160,Desperado,"['columbia pictures', 'los hooligans productions']",25405445.0
161,Devil in a Blue Dress,"['tristar pictures', 'mundy lane entertainment']",16140822.0
162,Die Hard: With a Vengeance,"['twentieth century fox film corporation', 'cinergi pictures entertainment']",366101666.0
163,The Doom Generation,"['why not productions', 'desperate pictures', 'blurco', 'the teen angst movie company']",0.0
164,Feast of July,"['touchstone pictures', 'merchant ivory productions']",0.0
165,First Knight,"['columbia pictures corporation', 'first knight productions']",127600435.0
166,Free Willy 2 - The Adventure Home,"['regency enterprises', 'alcor films', 'canal+', 'donner/shuler-donner productions', 'warner bros.']",0.0
167,Hackers,"['united artists', 'suftley']",7563728.0
168,Jeffrey,"['the booking office', ""workin' man films""]",0.0
169,Johnny Mnemonic,"['tristar pictures', 'alliance communications corporation']",19075720.0
170,Judge Dredd,"['hollywood pictures', 'cinergi pictures entertainment']",113493481.0
171,Jury Duty,['tristar pictures'],17014653.0
172,Kids,['miramax films'],7412216.0
173,Living in Oblivion,"['jdi productions', 'lemon sky productions']",1148752.0
174,Lord of Illusions,"['united artists', 'seraphim films']",0.0
175,Love & Human Remains,"['the ontario film development corporation', 'first choice films', 'atlantis films', 'telefilm canada', 'max films productions', 'super ã‰cran', 'sociã©tã© gã©nã©rale des industries culturelles du quã©bec (sogic)']",0.0
176,Mad Love,['touchstone pictures'],15453274.0
177,Mallrats,"['universal pictures', 'gramercy pictures', 'alphaville films', 'view askew productions']",2122561.0
178,Mighty Morphin Power Rangers: The Movie,"['twentieth century fox film corporation', 'saban entertainment', 'toei company']",66000000.0
179,Moonlight and Valentino,"['polygram filmed entertainment', 'working title films']",0.0
180,Mute Witness,"['comet film produktion gmbh', 'avrora media', 'cobblestone pictures']",1.0
181,Nadja,['kino link company'],0.0
182,The Net,['columbia pictures'],110627965.0
183,Nine Months,"['twentieth century fox film corporation', '1492 pictures']",69660733.0
184,Party Girl,['party productions'],472370.0
185,The Prophecy,['dimension films'],16.0
186,Reckless,"['playhouse international pictures', 'american playhouse', 'samuel goldwyn company, the']",0.0
187,Safe,"['killer films', 'american playhouse', 'kardana films', 'chemical films']",0.0
188,The Scarlet Letter,"['hollywood pictures', 'cinergi pictures entertainment']",10382407.0
189,The Show,,0.0
190,Showgirls,"['united artists', 'le studio canal+', 'carolco pictures']",20350754.0
191,Smoke,['miramax films'],8349430.0
192,Something to Talk About,"['spring creek productions', 'warner bros.', 'hawn / sylbert movie company']",50892160.0
193,Species,['metro-goldwyn-mayer (mgm)'],113374103.0
194,The Stars Fell on Henrietta,"['malpaso productions', ""butcher's run films"", 'warner bros.']",0.0
195,Strange Days,['lightstorm entertainment'],7959291.0
196,The Umbrellas of Cherbourg,"['beta film', 'madeleine films', 'parc film']",0.0
197,The Tie That Binds,"['hollywood pictures', 'polygram filmed entertainment', 'interscope communications']",5780000.0
198,Three Wishes,['savoy pictures'],7025496.0
199,Total Eclipse,"['sociã©tã© franã§aise de production (sfp)', 'fit productions', 'portman productions']",339889.0
200,"To Wong Foo, Thanks for Everything! Julie Newmar","['universal pictures', 'amblin entertainment']",47774193.0
201,Under Siege 2: Dark Territory,"['regency enterprises', 'warner bros.', 'seagal/nasso productions', 'victor company of japan (jvc)', 'cutting edge films']",104324083.0
202,Unstrung Heroes,['hollywood pictures'],0.0
203,Unzipped,,0.0
204,A Walk in the Clouds,"['twentieth century fox film corporation', 'zucker brothers productions']",50012507.0
205,Waterworld,"['universal pictures', 'gordon company', 'davis entertainment', 'licht/mueller film corporation']",264218220.0
206,White Man's Burden,"['hbo', 'a bandapart', 'rysher entertainment']",0.0
207,Wild Bill,['united artists'],0.0
208,The Browning Version,['paramount pictures'],0.0
209,Bushwhacked,['twentieth century fox film corporation'],0.0
210,Burnt by the Sun,"['canal+', 'studio trite', 'camã©ra one']",2616503.0
211,Before the Rain,"['polygram audiovisuel', 'british screen productions']",763847.0
212,Before Sunrise,"['detour film production', 'warner bros.']",5535405.0
213,Billy Madison,['jack giarraputo productions'],26488734.0
214,The Babysitter,['spelling films international'],0.0
215,Boys on the Side,"['regency enterprises', 'alcor films', 'canal+', 'new regency pictures', 'hera productions']",23450000.0
216,The Cure,"['universal pictures', 'island world']",0.0
217,Castle Freak,['full moon entertainment'],0.0
218,Circle of Friends,"['the rank organisation', 'bã³rd scannã¡n na hã‰ireann', 'lantana', 'price entertainment']",0.0
219,Clerks,"['miramax films', 'view askew productions']",3151130.0
220,Don Juan DeMarco,"['new line cinema', 'american zoetrope']",22200000.0
221,Disclosure,"['warner bros.', 'baltimore pictures']",214015089.0
222,Dream Man,"['keystone pictures', 'dream man productions inc']",0.0
223,Drop Zone,['paramount pictures'],0.0
224,Destiny Turns on the Radio,"['savoy pictures', 'rysher entertainment']",0.0
225,Death and the Maiden,"['fine line features', 'channel four films', 'capitol films', 'tf1 films production', 'canal+', 'flach film', ""les films de l'astre""]",0.0
226,Dolores Claiborne,"['castle rock entertainment', 'columbia pictures corporation']",0.0
227,Dumb and Dumber,"['new line cinema', 'motion picture corporation of america (mpca)']",247275374.0
228,Eat Drink Man Woman,"['ang lee productions', 'good machine', 'central motion pictures']",7294403.0
229,Exotica,"['miramax films', 'alliance entertainment', 'ego film arts']",0.0
230,Exit to Eden,['savoy pictures'],6841570.0
231,Ed Wood,['touchstone pictures'],5887457.0
232,French Kiss,"['twentieth century fox film corporation', 'polygram filmed entertainment', 'working title films', 'prufrock pictures']",0.0
233,Forget Paris,"['columbia pictures', 'castle rock entertainment']",0.0
234,Far from Home: The Adventures of Yellow Dog,['twentieth century fox film corporation'],0.0
235,A Goofy Movie,['walt disney pictures'],35348597.0
236,Hideaway,['tristar pictures'],12201255.0
237,Fluke,['metro-goldwyn-mayer'],0.0
238,Farinelli,"['italian international film', 'stã©phan films', 'mg']",0.0
239,Gordy,,3992809.0
240,Gumby: The Movie,,0.0
241,The Glass Shield,['miramax films'],0.0
242,Hoop Dreams,"['fine line features', 'kartemquin films']",7830611.0
243,Heavenly Creatures,"['wingnut films', 'miramax films', 'new zealand film commission', 'fontana productions']",3049135.0
244,Houseguest,"['caravan pictures', 'hollywood pictures']",26325256.0
245,Immortal Beloved,"['columbia pictures', 'majestic films international', 'icon entertainment international']",0.0
246,Heavyweights,"['walt disney pictures', 'caravan pictures']",17689177.0
247,The Hunted,"['universal pictures', 'bregman/baer productions']",0.0
248,I.Q.,['paramount pictures'],0.0
249,Interview with the Vampire,['geffen pictures'],223664608.0
250,Jefferson in Paris,"['merchant ivory productions', 'touchstone pictures']",2474000.0
251,The Jerky Boys,"['caravan pictures', 'touchstone pictures']",0.0
252,Junior,"['universal pictures', 'northern lights entertainment']",37000000.0
253,Just Cause,"['fountainbridge films', 'warner bros.', 'lee rich productions']",0.0
254,A Kid in King Arthur's Court,"['walt disney pictures', 'trimark pictures']",0.0
255,Kiss of Death,['twentieth century fox film corporation'],0.0
256,Star Wars,"['lucasfilm', 'twentieth century fox film corporation']",775398007.0
257,Little Women,['columbia pictures'],0.0
258,A Little Princess,['warner bros.'],0.0
259,Ladybird Ladybird,"['channel four films', 'parallax pictures']",0.0
260,L'Enfer,['mk2 productions'],0.0
261,Like Water for Chocolate,"['aviacsa', 'cinevista']",21665468.0
262,Legends of the Fall,"['bedford falls productions', 'tristar pictures', 'pangaea']",160638883.0
263,Major Payne,['universal pictures'],0.0
264,Little Odessa,"['fine line features', 'new line cinema', 'live entertainment']",0.0
265,Mi Vida Loca,"['channel four films', 'cineville', 'home box office (hbo)', 'showcase entertaiment inc.']",0.0
266,Love Affair,['warner bros.'],0.0
267,Losing Isaiah,['paramount pictures'],7603766.0
268,The Madness of King George,"['channel four films', 'samuel goldwyn company', 'close call films']",0.0
269,Mary Shelley's Frankenstein,"['american zoetrope', 'tristar pictures']",112006296.0
270,Man of the House,['walt disney pictures'],0.0
271,Mixed Nuts,['tristar pictures'],0.0
272,Milk Money,"['paramount pictures', 'the kennedy/marshall company']",18137661.0
273,Miracle on 34th Street,['twentieth century fox film corporation'],46264384.0
274,Miami Rhapsody,['hollywood pictures'],5.0
275,My Family,"['american zoetrope', 'american playhouse', 'majestic films international', 'newcomb productions']",0.0
276,Murder in the First,"['wolper organization', 'warner bros.']",17381942.0
277,Nobody's Fool,"['paramount pictures', 'capella international', 'cinehaus']",0.0
278,Nell,"['twentieth century fox film corporation', 'egg pictures', 'polygram filmed entertainment']",106683817.0
279,New Jersey Drive,['40 acres & a mule filmworks'],0.0
280,New York Cop,"['toei', 'distant justice joint venture']",0.0
281,Beyond Bedlam,['metrodome films'],0.0
282,Nemesis 2 - Nebula,"['filmwerks', 'imperial entertainment']",0.0
283,Nina Takes a Lover,['triumph films'],0.0
284,Natural Born Killers,"['regency enterprises', 'alcor films', 'ixtlan', 'warner bros.', 'new regency pictures', 'j d productions']",50282766.0
285,Only You,['tristar pictures'],0.0
286,Once Were Warriors,"['avalon studios', 'new zealand film commission', 'new zealand on air']",2201126.0
287,Poison Ivy II: Lily,"['new line cinema', 'cinetel pictures', 'mg entertainment']",0.0
288,Outbreak,"['kopelson entertainment', 'punch productions', 'warner bros.', 'arnold kopelson productions']",189859560.0
289,Leon: The Professional,"['columbia pictures', 'gaumont']",45284974.0
290,The Perez Family,"['samuel goldwyn company, the']",2832826.0
291,A Pyromaniac's Love Story,['hollywood pictures'],0.0
292,Pulp Fiction,"['miramax films', 'a band apart', 'jersey films']",213928762.0
293,Panther,"['polygram filmed entertainment', 'gramercy pictures (i)', 'mvp films']",6834525.0
294,Pushing Hands,['ang lee productions'],152322.0
295,Priest,"['bbc films', 'polygram filmed entertainment', 'miramax']",4176932.0
296,Quiz Show,"['wildwood enterprises', 'hollywood pictures', 'baltimore pictures']",0.0
297,Picture Bride,"['cecile company', 'thousand cranes filmworks']",0.0
298,Queen Margot,"['renn productions', 'eurimages', 'canal+', 'ard/degeto film gmbh', 'd.a. films', 'france2 cinã©ma', 'wmg film', 'centre national de la cinã©matographie (cnc)', 'n.e.f. filmproduktion und vertriebs gmbh', 'miramax', 'rcs films & tv']",0.0
299,The Quick and the Dead,['tristar pictures'],18552460.0
300,Roommates,"['hollywood pictures', 'interscope communications', 'nomura babcock & brown']",12400000.0
301,PrÃªt-Ã -Porter,['miramax films'],11300653.0
302,Three Colors: Red,"['zespã³å‚ filmowy tor', 'le studio canal+', 'france 3 cinã©ma', 'tã©lã©vision suisse-romande']",0.0
303,Three Colors: Blue,"['france 3 cinã©ma', 'ced productions']",0.0
304,Three Colors: White,"['le studio canal+', 'france 3 cinã©ma', 'eurimages']",0.0
305,"Red Firecracker, Green Firecracker",,0.0
306,Rent-a-Kid,,0.0
307,Relative Fear,"['allegro films', 'norstar entertainment', 'west wind entertainment']",0.0
308,Stuart Saves His Family,['paramount pictures'],0.0
309,The Swan Princess,['rich animation studios'],9771658.0
310,The Secret of Roan Inish,"['jones entertainment group', 'skerry productions']",0.0
311,The Specialist,"['jerry weintraub productions', 'warner bros.', 'iguana producciones']",170362582.0
312,Stargate,"['centropolis entertainment', 'studiocanal', 'carolco entertainment']",196567262.0
313,The Santa Clause,"['walt disney pictures', 'hollywood pictures']",189833357.0
314,The Shawshank Redemption,"['castle rock entertainment', 'warner bros.']",28341469.0
315,Shallow Grave,"['channel four films', 'figment films', 'the glasgow film fund', 'polygram filmed entertainment']",0.0
316,Suture,['kino korsakoff'],102780.0
317,Strawberry and Chocolate,"['miramax films', 'tabasco films', 'instituto mexicano de cinematografã\xada (imcine)', 'telemadrid']",0.0
318,Swimming with Sharks,"['cineville', 'trimark pictures']",0.0
319,The Sum of Us,['samuel goldwyn company'],0.0
320,Senior Trip,"['new line cinema', '1992 number four limited partnership', 'mha']",0.0
321,To Live,"['shanghai film studios', 'era international ltd']",0.0
322,Tank Girl,['trilogy entertainment group'],4064495.0
323,Tales from the Crypt: Demon Knight,"['universal pictures', 'tales from the crypt holdings']",0.0
324,Star Trek: Generations,['paramount pictures'],120000000.0
325,Tales from the Hood,"['40 acres & a mule filmworks', 'savoy pictures']",12000000.0
326,Tom & Viv,,0.0
327,Village of the Damned,['universal pictures'],0.0
328,Tommy Boy,['paramount pictures'],32648673.0
329,Vanya on 42nd Street,['sony pictures classics'],0.0
330,The Underneath,['populist pictures'],0.0
331,The Walking Dead,"['savoy pictures', 'price entertainment', 'jackson/mchenry company,the']",0.0
332,What's Eating Gilbert Grape,['paramount pictures'],10032765.0
333,Virtuosity,['paramount pictures'],24048000.0
334,While You Were Sleeping,"['caravan pictures', 'hollywood pictures']",182057016.0
335,The War,['universal pictures'],0.0
336,Double Happiness,"['fine line features', 'tã©lã©film canada', 'first generation films', 'national film board of canada (nfb)', 'british columbia film commission']",759393.0
337,Muriel's Wedding,"['ciby 2000', 'film victoria', 'house & moorhouse films']",15119639.0
338,The Baby-Sitters Club,"['columbia pictures corporation', 'beacon pictures']",0.0
339,Ace Ventura: Pet Detective,"['warner bros.', 'morgan creek productions']",107217396.0
340,"The Adventures of Priscilla, Queen of the Desert",['polygram filmed entertainment'],11220670.0
341,Backbeat,['gramercy pictures'],0.0
342,Bitter Moon,"['fine line features', 'r.p. productions', 'columbia pictures corporation', 'les films alain sarde', 'canal+', 'timothy burrill productions']",1862805.0
343,Bullets Over Broadway,['miramax films'],0.0
344,Clear and Present Danger,"['paramount pictures', 'mace neufeld productions']",215887717.0
345,The Client,"['regency enterprises', 'alcor films', 'warner bros.']",117615211.0
346,"Corrina, Corrina",['new line cinema'],0.0
347,Crooklyn,"['universal pictures', '40 acres & a mule filmworks']",0.0
348,The Crow,"['miramax films', 'crowvision inc.', 'entertainment media investment corporation', 'jeff most productions', 'edward r. pressman film']",94000000.0
349,Cobb,"['regency enterprises', 'alcor films', 'warner bros.', 'aleor films']",1007583.0
350,The Flintstones,"['universal pictures', 'amblin entertainment', 'hanna-barbera productions']",341631208.0
351,Forrest Gump,['paramount pictures'],677945399.0
352,Four Weddings and a Funeral,"['channel four films', 'polygram filmed entertainment', 'working title films']",254700832.0
353,Higher Learning,"['columbia pictures corporation', 'new deal productions']",38290723.0
354,I Like It Like That,"['columbia pictures corporation', 'think again productions', 'riot of color']",1777020.0
355,I Love Trouble,"['caravan pictures', 'touchstone pictures']",61947267.0
356,It Could Happen to You,['tristar pictures'],0.0
357,The Jungle Book,,0.0
358,"The Wonderful, Horrible Life of Leni Riefenstahl","['channel four films', 'arte', 'zweites deutsches fernsehen (zdf)', 'nomad films', 'omega film gmbh', 'without walls']",449707.0
359,The Lion King,"['walt disney pictures', 'walt disney feature animation']",788241776.0
360,Little Buddha,['miramax films'],4858139.0
361,New Nightmare,['new line cinema'],18090181.0
362,The Mask,"['new line cinema', 'dark horse entertainment']",351583407.0
363,Maverick,"['icon entertainment international', 'warner bros.']",0.0
364,Mrs. Parker and the Vicious Circle,"['fine line features', 'miramax films']",0.0
365,The Naked Gun 33â…“: The Final Insult,['paramount pictures'],51132598.0
366,The Paper,"['imagine entertainment', 'universal pictures']",0.0
367,Reality Bites,"['universal pictures', 'jersey films']",20079850.0
368,Red Rock West,"['propaganda films', 'polygram filmed entertainment']",2000000.0
369,RiÂ¢hie RiÂ¢h,"['davis entertainment', 'silver pictures', 'warner bros.']",0.0
370,Safe Passage,['new line cinema'],0.0
371,The River Wild,"['universal pictures', 'david foster productions', 'turman-foster company']",0.0
372,Speed,['twentieth century fox film corporation'],350448145.0
373,Speechless,['metro-goldwyn-mayer (mgm)'],0.0
