,belongs_to_collection,title,revenue
82,,Once Upon a Time... When We Were Colored,0.0
83,,Last Summer in the Hamptons,0.0
84,,Angels and Insects,0.0
85,,White Squall,10300000.0
86,,Dunston Checks In,0.0
87,,Black Sheep,32.0
88,,Nick of Time,8175346.0
89,,The Journey of August King,0.0
90,,Mary Reilly,12379402.0
91,,Vampire in Brooklyn,19800000.0
92,,Beautiful Girls,0.0
93,,Broken Arrow,150270147.0
94,,A Midwinter's Tale,0.0
95,,La Haine,0.0
96,,Shopping,0.0
97,,Heidi Fleiss: Hollywood Madam,0.0
98,,City Hall,0.0
99,,Bottle Rocket,560069.0
100,,Mr. Wrong,0.0
101,,Unforgettable,0.0
102,,Happy Gilmore,41205099.0
103,,The Bridges of Madison County,182016617.0
104,,Nobody Loves Me,0.0
105,the muppet collection,Muppet Treasure Island,34327391.0
106,,Catwalk,0.0
107,,Headless Body in Topless Bar,0.0
108,,Braveheart,210000000.0
109,,Taxi Driver,28262574.0
110,,Rumble in the Bronx,32392047.0
111,,Before and After,0.0
112,,Margaret's Museum,0.0
113,,Happiness Is in the Field,0.0
114,,Anne Frank Remembered,1.0
115,,The Young Poisoner's Handbook,0.0
116,,If Lucy Fell,0.0
117,,Steal Big Steal Little,6278139.0
118,,Race the Sun,0.0
119,,The Boys of St. Vincent,0.0
120,,Boomerang,70100000.0
121,,Chungking Express,0.0
122,,The Star Maker,0.0
123,,Flirting with Disaster,14702438.0
124,the neverending story collection,The Neverending Story III: Escape from Fantasia,0.0
125,,The Silences of the Palace,0.0
126,,Jupiter's Wife,0.0
127,,Pie in the Sky,0.0
128,,Angela,0.0
129,,Frankie Starlight,0.0
130,,Jade,9851610.0
131,,Nueba Yol,0.0
132,,Sonic Outlaws,0.0
133,,Down Periscope,0.0
134,,From the Journals of Jean Seberg,0.0
135,,Man of the Year,209935.0
136,,The Neon Bible,0.0
137,,Target,0.0
138,,Up Close & Personal,0.0
139,,The Birdcage,185260553.0
140,,Virgin Mary,0.0
141,,The Brothers McMullen,0.0
142,bad boys collection,Bad Boys,141407024.0
143,,The Amazing Panda Adventure,0.0
144,,The Basketball Diaries,0.0
145,,An Awfully Big Adventure,851545.0
146,,Amateur,0.0
147,,Apollo 13,355237933.0
148,,Rob Roy,31596911.0
149,,The Addiction,0.0
150,batman collection,Batman Forever,336529144.0
151,,Belle de Jour,0.0
152,,Beyond Rangoon,0.0
153,brooklyn cigar store collection,Blue in the Face,1275000.0
154,,Canadian Bacon,178104.0
155,casper collection,Casper,287928194.0
156,,Clockers,13071518.0
157,,Congo,152022101.0
158,,Crimson Tide,157387195.0
159,,Crumb,3174695.0
160,mexico trilogy,Desperado,25405445.0
161,,Devil in a Blue Dress,16140822.0
162,die hard collection,Die Hard: With a Vengeance,366101666.0
163,teenage apocalypse trilogy,The Doom Generation,0.0
164,,Feast of July,0.0
165,,First Knight,127600435.0
166,free willy collection,Free Willy 2 - The Adventure Home,0.0
167,,Hackers,7563728.0
168,,Jeffrey,0.0
169,,Johnny Mnemonic,19075720.0
170,,Judge Dredd,113493481.0
171,,Jury Duty,17014653.0
172,,Kids,7412216.0
173,,Living in Oblivion,1148752.0
174,,Lord of Illusions,0.0
175,,Love & Human Remains,0.0
176,,Mad Love,15453274.0
177,,Mallrats,2122561.0
178,power rangers collection,Mighty Morphin Power Rangers: The Movie,66000000.0
179,,Moonlight and Valentino,0.0
180,,Mute Witness,1.0
181,,Nadja,0.0
182,sã­å¥ (kolekce),The Net,110627965.0
183,,Nine Months,69660733.0
184,,Party Girl,472370.0
185,the prophecy collection,The Prophecy,16.0
186,,Reckless,0.0
187,,Safe,0.0
188,,The Scarlet Letter,10382407.0
189,,The Show,0.0
190,showgirls collection,Showgirls,20350754.0
191,brooklyn cigar store collection,Smoke,8349430.0
192,,Something to Talk About,50892160.0
193,species collection,Species,113374103.0
194,,The Stars Fell on Henrietta,0.0
195,,Strange Days,7959291.0
196,,The Umbrellas of Cherbourg,0.0
197,,The Tie That Binds,5780000.0
198,,Three Wishes,7025496.0
199,,Total Eclipse,339889.0
200,,"To Wong Foo, Thanks for Everything! Julie Newmar",47774193.0
201,under siege collection,Under Siege 2: Dark Territory,104324083.0
202,,Unstrung Heroes,0.0
203,,Unzipped,0.0
204,,A Walk in the Clouds,50012507.0
205,,Waterworld,264218220.0
206,,White Man's Burden,0.0
207,,Wild Bill,0.0
208,,The Browning Version,0.0
209,,Bushwhacked,0.0
210,burnt by the sun trilogy,Burnt by the Sun,2616503.0
211,,Before the Rain,763847.0
212,before... collection,Before Sunrise,5535405.0
213,,Billy Madison,26488734.0
214,,The Babysitter,0.0
215,,Boys on the Side,23450000.0
216,,The Cure,0.0
217,,Castle Freak,0.0
218,,Circle of Friends,0.0
219,clerks collection,Clerks,3151130.0
220,,Don Juan DeMarco,22200000.0
221,,Disclosure,214015089.0
222,,Dream Man,0.0
223,,Drop Zone,0.0
224,,Destiny Turns on the Radio,0.0
225,,Death and the Maiden,0.0
226,,Dolores Claiborne,0.0
227,dumb and dumber collection,Dumb and Dumber,247275374.0
228,,Eat Drink Man Woman,7294403.0
229,,Exotica,0.0
230,,Exit to Eden,6841570.0
231,,Ed Wood,5887457.0
232,,French Kiss,0.0
233,,Forget Paris,0.0
234,,Far from Home: The Adventures of Yellow Dog,0.0
235,a goofy movie collection,A Goofy Movie,35348597.0
236,,Hideaway,12201255.0
237,,Fluke,0.0
238,,Farinelli,0.0
239,,Gordy,3992809.0
240,,Gumby: The Movie,0.0
241,,The Glass Shield,0.0
242,,Hoop Dreams,7830611.0
243,,Heavenly Creatures,3049135.0
244,,Houseguest,26325256.0
245,,Immortal Beloved,0.0
246,,Heavyweights,17689177.0
247,,The Hunted,0.0
248,,I.Q.,0.0
249,the vampire chronicles,Interview with the Vampire,223664608.0
250,,Jefferson in Paris,2474000.0
251,,The Jerky Boys,0.0
252,,Junior,37000000.0
253,,Just Cause,0.0
254,,A Kid in King Arthur's Court,0.0
255,,Kiss of Death,0.0
256,star wars collection,Star Wars,775398007.0
257,,Little Women,0.0
258,,A Little Princess,0.0
259,,Ladybird Ladybird,0.0
260,,L'Enfer,0.0
261,,Like Water for Chocolate,21665468.0
262,,Legends of the Fall,160638883.0
263,,Major Payne,0.0
264,,Little Odessa,0.0
265,,Mi Vida Loca,0.0
266,,Love Affair,0.0
267,,Losing Isaiah,7603766.0
268,,The Madness of King George,0.0
269,,Mary Shelley's Frankenstein,112006296.0
270,,Man of the House,0.0
271,,Mixed Nuts,0.0
272,,Milk Money,18137661.0
273,,Miracle on 34th Street,46264384.0
274,,Miami Rhapsody,5.0
275,,My Family,0.0
276,,Murder in the First,17381942.0
277,,Nobody's Fool,0.0
278,,Nell,106683817.0
279,,New Jersey Drive,0.0
280,,New York Cop,0.0
281,,Beyond Bedlam,0.0
282,nemesis collection,Nemesis 2 - Nebula,0.0
283,,Nina Takes a Lover,0.0
284,,Natural Born Killers,50282766.0
285,,Only You,0.0
286,once were warriors collection,Once Were Warriors,2201126.0
287,poison ivy collection,Poison Ivy II: Lily,0.0
288,,Outbreak,189859560.0
289,,Leon: The Professional,45284974.0
290,,The Perez Family,2832826.0
291,,A Pyromaniac's Love Story,0.0
292,,Pulp Fiction,213928762.0
293,,Panther,6834525.0
294,,Pushing Hands,152322.0
295,,Priest,4176932.0
296,,Quiz Show,0.0
297,,Picture Bride,0.0
298,,Queen Margot,0.0
299,,The Quick and the Dead,18552460.0
300,,Roommates,12400000.0
301,,PrÃªt-Ã -Porter,11300653.0
302,three colors collection,Three Colors: Red,0.0
303,three colors collection,Three Colors: Blue,0.0
304,three colors collection,Three Colors: White,0.0
305,,"Red Firecracker, Green Firecracker",0.0
306,,Rent-a-Kid,0.0
307,,Relative Fear,0.0
308,,Stuart Saves His Family,0.0
309,swan princess series,The Swan Princess,9771658.0
310,,The Secret of Roan Inish,0.0
311,,The Specialist,170362582.0
312,,Stargate,196567262.0
313,the santa clause collection,The Santa Clause,189833357.0
314,,The Shawshank Redemption,28341469.0
315,,Shallow Grave,0.0
316,,Suture,102780.0
317,,Strawberry and Chocolate,0.0
318,,Swimming with Sharks,0.0
319,,The Sum of Us,0.0
320,,Senior Trip,0.0
321,,To Live,0.0
322,,Tank Girl,4064495.0
323,tales from the crypt collection,Tales from the Crypt: Demon Knight,0.0
324,star trek: the next generation collection,Star Trek: Generations,120000000.0
325,,Tales from the Hood,12000000.0
326,,Tom & Viv,0.0
327,,Village of the Damned,0.0
328,,Tommy Boy,32648673.0
329,,Vanya on 42nd Street,0.0
330,,The Underneath,0.0
331,,The Walking Dead,0.0
332,,What's Eating Gilbert Grape,10032765.0
333,,Virtuosity,24048000.0
334,,While You Were Sleeping,182057016.0
335,,The War,0.0
336,,Double Happiness,759393.0
337,,Muriel's Wedding,15119639.0
338,,The Baby-Sitters Club,0.0
339,ace ventura collection,Ace Ventura: Pet Detective,107217396.0
340,,"The Adventures of Priscilla, Queen of the Desert",11220670.0
341,,Backbeat,0.0
342,,Bitter Moon,1862805.0
343,,Bullets Over Broadway,0.0
344,the jack ryan collection,Clear and Present Danger,215887717.0
345,,The Client,117615211.0
346,,"Corrina, Corrina",0.0
347,,Crooklyn,0.0
348,the crow collection,The Crow,94000000.0
349,,Cobb,1007583.0
350,the flintstones (live-action) collection,The Flintstones,341631208.0
351,,Forrest Gump,677945399.0
352,,Four Weddings and a Funeral,254700832.0
353,,Higher Learning,38290723.0
354,,I Like It Like That,1777020.0
355,,I Love Trouble,61947267.0
356,,It Could Happen to You,0.0
357,,The Jungle Book,0.0
358,,"The Wonderful, Horrible Life of Leni Riefenstahl",449707.0
359,the lion king collection,The Lion King,788241776.0
360,,Little Buddha,4858139.0
361,a nightmare on elm street collection,New Nightmare,18090181.0
362,the mask collection,The Mask,351583407.0
363,,Maverick,0.0
364,,Mrs. Parker and the Vicious Circle,0.0
365,naked gun collection,The Naked Gun 33â…“: The Final Insult,51132598.0
366,,The Paper,0.0
367,,Reality Bites,20079850.0
368,,Red Rock West,2000000.0
369,richie rich collection,RiÂ¢hie RiÂ¢h,0.0
370,,Safe Passage,0.0
371,,The River Wild,0.0
372,speed collection,Speed,350448145.0
373,,Speechless,0.0
374,timecop collection,Timecop,101646581.0
375,,True Lies,378882411.0
376,,When a Man Loves a Woman,50021959.0
377,,Wolf,0.0
378,,Wyatt Earp,25052000.0
379,,Bad Company,0.0
380,,A Man of No Importance,953.0
381,,S.F.W.,0.0
382,,A Low Down Dirty Shame,29392418.0
383,,"Boys Life: Three Stories of Love, Lust, and Liberation",0.0
384,,Colonel Chabert,0.0
385,,"Faster, Pussycat! Kill! Kill!",0.0
386,,Jason's Lyric,20851521.0
387,,The Secret Adventures of Tom Thumb,0.0
388,street fighter,Street Fighter,99423521.0
389,,Coldblooded,0.0
390,,Desert Winds,0.0
391,,Fall Time,0.0
392,fear collection,The Fear,0.0
393,,Frank and Ollie,0.0
394,,Girl in the Cadillac,0.0
395,,Homage,0.0
396,,Mirage,0.0
397,,Open Season,0.0
398,,Dos CrÃ­menes,0.0
399,,Brother Minister: The Assassination of Malcolm X,0.0
400,highlander collection,Highlander: The Final Dimension,36800000.0
401,,Federal Hill,0.0
402,,In the Mouth of Madness,8946600.0
403,,8 Seconds,0.0
404,,Above the Rim,0.0
405,addams family collection,Addams Family Values,48919043.0
406,,Martin Lawrence: You So Crazy,0.0
407,,The Age of Innocence,32255440.0
408,,Airheads,0.0
409,,The Air Up There,21011500.0
410,stakeout collection,Another Stakeout,0.0
411,,Bad Girls,15240435.0
412,,Barcelona,0.0
413,,Being Human,0.0
414,,The Beverly Hillbillies,0.0
415,beverly hills cop collection,Beverly Hills Cop III,119208989.0
416,,Black Beauty,0.0
417,,Blink,16668552.0
418,,Blown Away,30156002.0
419,,Blue Chips,0.0
420,,Blue Sky,0.0
421,,Body Snatchers,428868.0
422,,Boxing Helena,1796389.0
423,,A Bronx Tale,17287898.0
424,,Cabin Boy,3662459.0
425,,Calendar Girl,2570145.0
426,,Carlito's Way,36516012.0
427,city slickers collection,City Slickers II: The Legend of Curly's Gold,0.0
428,,Clean Slate,7355425.0
429,,Cliffhanger,255000211.0
430,,Coneheads,0.0
431,,Color of Night,19726050.0
432,,Cops & Robbersons,0.0
433,,The Cowboy Way,0.0
434,,Dangerous Game,0.0
435,,Dave,63000000.0
436,,Dazed and Confused,7993039.0
437,,Demolition Man,159055768.0
438,the endless summer collection,The Endless Summer 2,0.0
439,,Even Cowgirls Get the Blues,0.0
440,,Fatal Instinct,0.0
441,,Farewell My Concubine,0.0
442,,The Favor,0.0
443,,Fearless,0.0
444,,Fear of a Black Hat,0.0
445,,With Honors,0.0
446,,Flesh and Bone,9488998.0
447,,Widows' Peak,0.0
448,,For Love or Money,11146270.0
449,,The Firm,270248367.0
450,free willy collection,Free Willy,153698625.0
451,,Fresh,0.0
452,the fugitive / u.s. marshals collection,The Fugitive,368875760.0
453,,Geronimo: An American Legend,18635620.0
454,,The Getaway,30.0
455,,Getting Even with Dad,0.0
456,,Go Fish,0.0
457,,A Good Man in Africa,0.0
458,,Guilty as Sin,22886222.0
459,hard target collection,Hard Target,74189677.0
460,,Heaven & Earth,0.0
461,hot shots! collection,Hot Shots! Part Deux,133752825.0
462,,Live Nude Girls,0.0
463,,The Englishman Who Went Up a Hill But Came Down a Mountain,0.0
464,,The House of the Spirits,0.0
465,house party collection,House Party 3,0.0
466,,The Hudsucker Proxy,0.0
467,,I'll Do Anything,0.0
468,,In the Army Now,28881266.0
469,,In the Line of Fire,176997168.0
470,,In the Name of the Father,65796862.0
471,,The Inkwell,8880705.0
472,,What's Love Got to Do with It,0.0
473,,Jimmy Hollywood,0.0
474,,Judgment Night,12136938.0
475,jurassic park collection,Jurassic Park,920100000.0
476,,Kalifornia,2395231.0
477,,Killing Zoe,418961.0
478,,King of the Hill,0.0
479,,Lassie,0.0
480,,Last Action Hero,137298489.0
481,,Life With Mikey,0.0
482,,Lightning Jack,0.0
483,,M. Butterfly,1499795.0
484,,Made in America,0.0
485,,Malice,46405336.0
486,,The Man without a Face,24760338.0
487,,Manhattan Murder Mystery,11285588.0
488,,Menace II Society,27900000.0
489,,Executive Decision,121969216.0
490,,In the Realm of the Senses,0.0
491,,What Happened Was...,0.0
492,,Much Ado About Nothing,0.0
493,,Mr. Jones,0.0
494,,Mr. Wonderful,0.0
495,,Mrs. Doubtfire,441286195.0
496,,Naked,0.0
497,the karate kid collection,The Next Karate Kid,15826984.0
498,,The New Age,0.0
499,,No Escape,15340000.0
500,,North,0.0
501,,Orlando,0.0
502,,A Perfect World,135130999.0
503,,Philadelphia,206678440.0
504,,The Piano,116700000.0
505,,Poetic Justice,27515786.0
506,,The Program,23042200.0
507,,The Puppet Masters,8638072.0
508,,Radioland Murders,0.0
509,,The Ref,11439193.0
510,,The Remains of the Day,23237911.0
511,,Renaissance Man,24332324.0
512,,Rising Sun,107198790.0
513,,The Road to Wellville,0.0
514,robocop collection,RoboCop 3,10696210.0
515,,Robin Hood: Men in Tights,35739755.0
516,,Romeo Is Bleeding,3275585.0
517,,Romper Stomper,0.0
518,,Ruby in Paradise,1001437.0
519,,Rudy,22750363.0
520,,The Saint of Fort Washington,0.0
521,,Savage Nights,0.0
522,,Schindler's List,321365567.0
523,,The Scout,0.0
524,,Searching for Bobby Fischer,7266383.0
525,,Second Best,0.0
526,the secret garden collection,The Secret Garden,0.0
527,,Serial Mom,7820688.0
528,the shadow collection,The Shadow,48063435.0
529,,Shadowlands,0.0
530,,Short Cuts,6110979.0
531,,A Simple Twist of Fate,0.0
532,,Sirens,7770731.0
533,,Six Degrees of Separation,0.0
534,,Sleepless in Seattle,227799884.0
535,,Sliver,116300000.0
536,blade runner collection,Blade Runner,33139618.0
537,,Son in Law,36448200.0
538,,So I Married an Axe Murderer,11585483.0
539,,Striking Distance,0.0
540,,Harem,0.0
541,,Super Mario Bros.,20915465.0
542,,Surviving the Game,7690013.0
543,,Terminal Velocity,16478900.0
544,,Thirty Two Short Films About Glenn Gould,0.0
545,,Threesome,0.0
546,,The Nightmare Before Christmas,75634409.0
547,,The Three Musketeers,53898845.0
548,,Tombstone,56505065.0
549,,Trial by Jury,0.0
550,,True Romance,12281551.0
551,,The War Room,0.0
552,,The Pagemaster,13670688.0
553,,"Paris, France",0.0
554,,"The Beans of Egypt, Maine",0.0
555,,Killer,0.0
556,,Welcome to the Dollhouse,0.0
557,,Germinal,0.0
558,,Chasers,1596687.0
559,,Cronos,0.0
560,,Naked in New York,0.0
561,,Kika,0.0
562,,Bhaji on the Beach,0.0
563,,Little Big League,0.0
564,,The Slingshot,0.0
565,,Wide Eyed and Legless,0.0
566,,Foreign Student,0.0
567,,"Ciao, Professore!",0.0
568,,Spanking the Monkey,0.0
569,,The Little Rascals,67308282.0
570,,Ã€ la mode,0.0
571,,Andre,0.0
572,,The Escort,0.0
573,,Princess Caraboo,3021629.0
574,,The Celluloid Closet,0.0
575,,CafÃ© au Lait,0.0
576,,Dear Diary,0.0
577,,I Don't Want to Talk About It,0.0
578,the brady bunch collection,The Brady Bunch Movie,0.0
579,home alone collection,Home Alone,476684675.0
580,,Ghost,505000000.0
581,aladdin collection,Aladdin,504050219.0
582,the terminator collection,Terminator 2: Judgment Day,520000000.0
583,,Dances with Wolves,424208848.0
584,,Tough and Deadly,0.0
585,batman collection,Batman,411348924.0
586,the hannibal lecter anthology,The Silence of the Lambs,272742922.0
587,,Snow White and the Seven Dwarfs,184925486.0
588,beauty and the beast collection,Beauty and the Beast,377350553.0
589,,Pinocchio,84300000.0
590,,Pretty Woman,463000000.0
591,,Window to Paris,0.0
592,,The Wild Bunch,638641.0
593,,Love and a .45,0.0
594,,The Wooden Man's Bride,0.0
595,,A Great Day in Harlem,0.0
596,,Bye Bye Love,0.0
597,,One Fine Day,97529550.0
598,candyman collection,Candyman: Farewell to the Flesh,13940383.0
599,,Century,0.0
600,,Fargo,60611975.0
601,homeward bound collection,Homeward Bound II: Lost in San Francisco,32709423.0
602,heavy metal collection,Heavy Metal,0.0
603,hellraiser collection,Hellraiser: Bloodline,16675000.0
604,,The Pallbearer,0.0
605,,Jane Eyre,0.0
606,,Loaded,0.0
607,,Bread and Chocolate,0.0
608,,The Aristocats,55675257.0
609,,The Flower of My Secret,0.0
610,,Two Much,0.0
611,,Ed,0.0
612,,Scream of Stone,0.0
613,,My Favorite Season,0.0
614,,A Modern Affair,0.0
615,,Condition Red,0.0
616,,Halfaouine: Boy of the Terraces,0.0
617,,A Thin Line Between Love and Hate,0.0
618,,The Last Supper,442965.0
619,,Primal Fear,102616183.0
620,,Rude,0.0
621,,Carried Away,0.0
622,all dogs go to heaven collection,All Dogs Go to Heaven 2,8620678.0
623,,Land and Freedom,0.0
624,,Denise Calls Up,0.0
625,,Theodore Rex,0.0
626,,A Family Thing,0.0
627,,Frisk,0.0
628,,Sgt. Bilko,0.0
629,,Jack & Sarah,218626.0
630,,Girl 6,4939939.0
631,,Diabolique,0.0
632,,"Little Indian, Big City",0.0
633,,Roula,0.0
634,,Peanuts â€“ Die Bank zahlt alles,0.0
635,,Happy Weekend,65335.0
636,,Nelly and Monsieur Arnaud,0.0
637,,Courage Under Fire,100860818.0
638,mission: impossible collection,Mission: Impossible,457696359.0
639,,Cold Fever,0.0
640,,Moll Flanders,0.0
641,,The Superwife,0.0
642,,"301, 302",0.0
643,dragonheart collection,DragonHeart,115267375.0
644,,Und keiner weint mir nach,0.0
645,,My Mother's Courage,0.0
646,,Eddie,0.0
647,,Yankee Zulu,0.0
648,,Billy's Holiday,0.0
649,,Purple Noon,0.0
650,,August,0.0
651,,James and the Giant Peach,28921264.0
652,,Fear,0.0
653,,Kids in the Hall: Brain Candy,0.0
654,,Faithful,9789900.0
655,,Underground,0.0
656,,All Things Fair,0.0
657,bloodsport collection,Bloodsport II,684351.0
658,the apu collection,Pather Panchali,536364.0
659,the apu collection,The World of Apu,16000.0
660,,Mystery Science Theater 3000: The Movie,0.0
661,,Tarantella,0.0
662,,Space Jam,250200000.0
663,,Barbarella,2500000.0
664,,Hostile Intentions,0.0
665,,They Bite,0.0
666,,Some Folks Call It a Sling Blade,0.0
667,,The Run of the Country,0.0
668,lemmy caution collection,Alphaville,0.0
669,,Coup de Torchon,0.0
670,,Tigrero: A Film That Was Never Made,0.0
671,,The Eye of Vichy,0.0
672,,Windows,0.0
673,,It's My Party,0.0
674,,Country Life,0.0
675,,Operation Dumbo Drop,0.0
676,,The Promise,0.0
677,,Mrs. Winterbourne,10070000.0
678,,Solo,0.0
679,,Under The Domim Tree,0.0
680,the substitute collection,The Substitute,0.0
681,,True Crime,0.0
682,,Butterfly Kiss,0.0
683,,Feeling Minnesota,0.0
684,,Delta of Venus,62949.0
685,,To Cross the Rubicon,0.0
686,,Angus,0.0
687,,Priest Daens,0.0
688,,Faces,0.0
689,,Boys,0.0
690,,The Quest,57400547.0
691,,Cosi,0.0
692,,Sunset Park,0.0
693,,Mulholland Falls,0.0
694,,The Truth About Cats & Dogs,0.0
695,,Oliver & Company,74151346.0
696,,Celtic Pride,0.0
697,,Flipper,20080020.0
698,,Captives,0.0
699,,Of Love and Shadows,0.0
700,,Dead Man,0.0
701,,The Horseman on the Roof,15000000.0
702,,Switchblade Sisters,0.0
703,,Mouth to Mouth,0.0
704,the visitors collection,The Visitors,0.0
705,,Multiplicity,0.0
706,,"The Haunted World of Edward D. Wood, Jr.",0.0
707,,Two Friends,0.0
708,,The Craft,24769466.0
709,,The Great White Hype,0.0
710,,Last Dance,5.0
711,,Cold Comfort Farm,0.0
712,,"Institute Benjamenta, or This Dream People Call Human Life",0.0
713,,Heaven's Prisoners,0.0
714,,Original Gangstas,3014000.0
715,,The Rock,335062621.0
716,,Getting Away with Murder,0.0
717,,Cemetery Man,0.0
718,,Twister,494471524.0
719,,Barb Wire,3793614.0
720,,Le GarÃ§u,0.0
721,,Honeymoon,0.0
722,ghost in the shell collection,Ghost in the Shell,2287714.0
723,,Thinner,0.0
724,,Spy Hard,0.0
725,,Brothers in Trouble,0.0
726,wallace & gromit collection,A Close Shave,0.0
727,,Force of Evil,0.0
728,,The Stupids,0.0
729,the arrival collection,The Arrival,14048372.0
730,,The Man from Down Under,0.0
731,,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9440272.0
732,,Careful,0.0
733,,A Month by the Lake,0.0
734,,Gold Diggers: The Secret of Bear Mountain,0.0
735,,Kim,0.0
736,,Carmen Miranda: Bananas Is My Business,0.0
737,,Ashes of Time,0.0
738,,The Jar,0.0
739,,Maya Lin: A Strong Clear Vision,0.0
740,,Stalingrad,0.0
741,,The Phantom,17300889.0
742,,Striptease,113309743.0
743,,The Last of the High Kings,0.0
744,,Heavy,0.0
745,,Jack,58620973.0
746,,I Shot Andy Warhol,1814290.0
747,,The Grass Harp,0.0
748,,Someone Else's America,0.0
749,,Life is Rosy,0.0
750,,Quartier Mozart,0.0
751,"martin scorseseâ€™s world cinema project, vol. 1",Touki Bouki,0.0
752,,God's Gift,0.0
753,,Spirits of the Dead,0.0
754,,Babyfever,0.0
755,,Pharaoh's  Army,0.0
756,trainspotting collection,Trainspotting,16491080.0
757,,Til There Was You,0.0
758,independence day collection,Independence Day,816969268.0
759,,Stealing Beauty,0.0
760,,The Fan,18626419.0
761,the hunchback of notre dame collection,The Hunchback of Notre Dame,100138851.0
762,,The Cable Guy,102825796.0
763,,Kingpin,25023434.0
764,,Eraser,242295562.0
765,,The Gate of Heavenly Peace,0.0
766,the nutty professor collection,The Nutty Professor,128769345.0
767,,"I, the Worst of All",0.0
768,,An Unforgettable Summer,65352.0
769,,A Hungarian Fairy Tale,0.0
770,,My Life and Times With Antonin Artaud,0.0
771,,Midnight Dancers,0.0
772,,Somebody to Love,0.0
773,,A Very Natural Thing,0.0
774,,The Old Lady Who Walked in the Sea,0.0
775,,Daylight,159212469.0
776,,The Frighteners,29359216.0
777,,Lone Star,13269963.0
778,,Harriet the Spy,0.0
779,,Phenomenon,152036382.0
780,,Walking and Talking,0.0
781,,She's the One,9482579.0
782,,A Time to Kill,152266007.0
783,,American Buffalo,665450.0
784,,Rendezvous in Paris,0.0
785,,Alaska,0.0
786,,Fled,17193231.0
787,,Kazaam,0.0
788,,Magic Hunter,0.0
789,,Larger Than Life,0.0
790,,A Boy Called Hate,0.0
791,,Power 98,0.0
792,,Two Deaths,0.0
793,the brady bunch collection,A Very Brady Sequel,0.0
794,,Stefano Quantestorie,0.0
795,,Death in the Garden,0.0
796,,Hedd Wyn,0.0
797,,La Collectionneuse,0.0
798,,Kaspar Hauser,0.0
799,,Regular Guys,0.0
800,,Diebinnen,0.0
801,,The Convent,0.0
802,,The Adventures of Pinocchio,0.0
803,,Joe's Apartment,4619014.0
804,,The First Wives Club,116400000.0
805,,Stonewall,0.0
806,,Ransom,309492681.0
807,,High School High,21302121.0
808,,Phat Beach,0.0
809,,Foxfire,258263.0
810,,Chain Reaction,60209334.0
